CouName,In,Out,Self
AD,108.0554298642534,60.936170075520195,69.0
AE,6105.521878335113,3735.008980910309,4608.0
AF,825.6515151515151,512.8100959527936,1263.0
AG,59.91162227602906,47.34206527187803,3.0
AI,21.0,13.0,2.0
AL,641.506970849176,674.5941959882475,2087.0
AM,436.3702290076335,637.2842221859936,3491.0
AO,1038.3367174280881,513.0555799601605,1286.0
AQ,31.0,27.0,1.0
AR,7142.319199057716,8728.998800435285,42092.0
AS,43.0,27.0,6.0
AT,13254.629589632828,11282.332589690832,23755.0
AU,41014.10782241016,31465.427152292505,134943.0
AW,40.0,30.0,3.0
AX,15.0,14.0,1.0
AZ,542.3921052631579,715.2643345292073,3651.0
BA,614.3825417201541,684.4941715096801,2243.0
BB,148.05562422744129,136.48887293966033,69.0
BD,5279.602985074625,7957.956754628465,32206.0
BE,18628.309978768575,17600.772701804824,31588.0
BF,685.6940639269407,255.99445723202174,801.0
BG,1248.7709637046305,1422.454295230853,8191.0
BH,591.615990990991,491.4853839515008,350.0
BI,171.13095238095238,84.68864958483942,178.0
BJ,508.89285714285705,378.27200382249384,905.0
BL,8.0,5.0,0.0
BM,60.0,51.0,9.0
BN,424.8080194410694,280.71665698317844,192.0
BO,944.4527220630373,870.4888132580326,3559.0
BQ,24.0,18.0,0.0
BR,34949.198684210525,38910.63197316523,719908.0
BS,128.2926829268293,89.89228497641002,36.0
BT,321.1101321585903,261.0736813893482,351.0
BV,22.0,29.0,3.0
BW,762.7415254237287,545.8722529943377,734.0
BY,459.42072409488134,991.9835662130854,4945.0
BZ,89.56714285714287,49.129972223455695,36.0
CA,39439.13155080214,37623.182318902094,92944.0
CC,5.0,3.0,0.0
CD,608.1829521829521,487.3756815160684,1277.0
CF,141.70284237726096,41.07852379331279,61.0
CG,193.89207419898818,111.15739494369652,110.0
CH,29759.074457083763,23955.3418763756,35906.0
CI,513.6441947565543,302.33144601026277,863.0
CK,5.0,6.0,2.0
CL,9725.197674418605,10085.930873552266,40345.0
CM,1020.9011925042593,1049.03030340604,3718.0
CN,53296.697969543144,66549.39830742759,212794.0
CO,18299.490765171508,23743.184277172237,196715.0
CR,1897.411910669975,2270.112117814426,7758.0
CU,1960.7748691099473,4900.695600819354,22419.0
CV,409.08774583963697,221.03349606853385,358.0
CW,102.0,76.0,4.0
CX,9.0,8.0,0.0
CY,2845.518191841235,2034.5275419412487,3066.0
CZ,6208.973184357542,5244.277301552617,22486.0
DE,66439.28736842105,68565.52609287159,127257.0
DJ,37.3883495145631,26.86698131380284,15.0
DK,13336.771008403362,10536.859632941298,36244.0
DM,72.70270270270271,57.22131549429058,10.0
DO,958.892950391645,952.2023805298079,2715.0
DZ,942.1342281879193,1406.3097936689903,9846.0
EC,8255.78954248366,8317.465843994436,39671.0
EE,1567.11234705228,1196.8157978909164,3478.0
EG,6851.513736263737,9469.355801028301,39526.0
EH,10.0,9.0,2.0
ER,152.04868154158214,142.3218528705386,193.0
ES,59065.78814489571,58669.60193425649,284328.0
ET,3316.7479674796755,2219.4776044763,15196.0
FI,8371.64861995754,6623.497586206038,28005.0
FJ,469.40192043895763,346.2717216646698,1124.0
FK,30.0,22.0,5.0
FM,19.801261829652994,10.08839331709997,4.0
FO,75.0,36.0,45.0
FR,50474.020879120886,55377.51087772981,109337.0
GA,149.55266955266958,115.68684201005007,120.0
GB,118392.47978723404,121472.4695931949,297628.0
GD,298.2509457755359,226.22461252310418,45.0
GE,520.8009828009826,619.083639027881,3610.0
GF,109.0,76.0,33.0
GG,8.0,8.0,0.0
GH,3002.770764119602,3224.8879876560095,11679.0
GI,42.0,16.0,8.0
GL,91.0,55.0,29.0
GM,388.6101010101011,166.52720069017553,175.0
GN,172.18259023354565,97.41169042400028,159.0
GP,113.0,90.0,56.0
GQ,53.550769230769234,31.141399923534287,24.0
GR,6186.216125419932,10038.716210148466,26700.0
GS,5.0,5.0,1.0
GT,783.8696343402225,625.9440702437712,2479.0
GU,56.0,50.0,20.0
GW,130.27743271221533,39.26863441810633,70.0
GY,106.67250673854448,98.70672686179807,70.0
HK,8874.930962343095,8847.418673732847,10072.0
HM,2.0,3.0,0.0
HN,593.0288461538461,590.8547288337983,1575.0
HR,1273.108200455581,1741.1549184351627,10552.0
HT,248.85869565217388,156.24783279615846,296.0
HU,4066.5252643948297,4448.112111486062,15005.0
ID,8129.213183730716,9999.077549312147,76153.0
IE,10980.913684210525,10086.04699224581,22269.0
IL,6010.024043715846,6044.252256360071,15681.0
IM,36.0,21.0,7.0
IN,25262.833850931675,40760.496690970605,366215.0
IO,21.0,16.0,1.0
IQ,3354.4190193164927,3815.5630984329187,15633.0
IR,4259.778205128205,12380.798308094367,68861.0
IS,1194.9958289885299,994.9514509622285,1752.0
IT,31284.30132450331,42091.561138682955,164218.0
JE,42.0,30.0,15.0
JM,279.35410764872523,288.70138089568053,415.0
JO,3947.5040760869565,3548.407445741689,6724.0
JP,24603.698913043474,25343.485138397722,93081.0
KE,4078.4392678868558,2902.5044273142394,13197.0
KG,391.9514978601997,314.0138788535372,1218.0
KH,662.6566666666668,381.5122801983505,510.0
KI,22.302547770700638,12.557995720474766,11.0
KM,57.82935153583619,33.70690584358078,12.0
KN,123.31861575178998,100.31030794552176,26.0
KP,19.0,35.0,70.0
KR,17551.741657696446,19531.327242453957,63926.0
KW,1365.5631641086188,861.9023236368492,849.0
KY,49.0,35.0,4.0
KZ,1875.8840399002488,1589.4095012787698,10846.0
LA,207.86451612903227,137.12239756076661,95.0
LB,2260.0304287690183,2761.3276827050745,5072.0
LC,26.8151724137931,21.105297811593573,1.0
LI,99.34607218683652,81.57438925422186,32.0
LK,1964.8461538461545,3571.475950563341,11744.0
LR,248.3655030800821,128.4421793413005,255.0
LS,249.45873320537424,166.80633602348578,180.0
LT,1097.5335608646187,1153.816151009051,9779.0
LU,2656.2545846817698,1243.5873184551212,1447.0
LV,606.9977246871445,647.911576405729,4221.0
LY,765.4088471849866,933.4558607796085,1197.0
MA,1416.8925501432664,1220.656439727547,6463.0
MC,91.0,78.0,12.0
MD,316.6749672346002,392.3147172238459,2136.0
ME,193.43601895734596,188.2100326756148,355.0
MF,6.0,8.0,0.0
MG,316.20944558521563,177.23669643650265,543.0
MH,13.793433652530782,5.975147270480796,4.0
MK,428.5869281045751,454.8515071698546,1447.0
ML,395.1073170731707,151.0067657211895,370.0
MM,413.8157894736842,490.2076860862116,1118.0
MN,515.5560053981106,549.3894409788353,1731.0
MO,900.0477223427334,653.5282010666166,377.0
MP,18.0,15.0,4.0
MQ,55.0,48.0,31.0
MR,81.22037037037038,50.44841808926306,59.0
MS,21.0,20.0,1.0
MT,635.431693989071,664.2492889084084,1201.0
MU,200.9912060301507,209.7058029105322,323.0
MV,176.46062992125985,133.6797402199998,85.0
MW,909.3208661417323,543.346415552464,1506.0
MX,17954.11395646607,15983.00457909522,117682.0
MY,13475.983890954152,11230.511178184566,35122.0
MZ,1221.3362255965294,636.3197412747202,2393.0
NA,573.467213114754,337.1751396832402,550.0
NC,138.0,96.0,46.0
NE,324.3071065989848,100.3501856255866,152.0
NF,4.0,2.0,0.0
NG,5458.563868613138,7169.236052527386,49288.0
NI,640.6816143497758,573.6282587447222,1732.0
NL,28341.38266384778,28044.728730002244,46577.0
NO,8910.412008281573,6097.180809351389,18595.0
NP,2031.7420965058238,1955.9049430204527,6473.0
NR,13.179597701149426,11.643642839897378,2.0
NU,1.0,1.0,1.0
NZ,7780.791267305644,6975.255491662336,16151.0
OM,1736.1636141636145,1192.952374356951,941.0
PA,1313.1548780487806,1125.556156149131,3649.0
PE,8274.17454068241,8256.966209940085,113172.0
PF,93.0,68.0,41.0
PG,299.4102112676057,137.06667295425214,245.0
PH,2490.2042253521126,3226.639481922523,23733.0
PK,9156.00185185185,7748.369323112039,45415.0
PL,9129.55845629966,9825.931822717252,75143.0
PM,1.0,0.0,0.0
PN,10.0,6.0,1.0
PR,1449.0,1745.0,1634.0
PS,1025.1578212290503,955.7377110181926,1772.0
PT,23648.042334096113,21315.861322622422,155625.0
PW,15.779171894604767,14.611617994347544,3.0
PY,1050.541723666211,809.4871403845981,3343.0
QA,2979.64,1446.560190674929,1806.0
RE,177.0,152.0,98.0
RO,2325.9008464328904,3577.5223663394468,22661.0
RS,1522.4186335403729,2222.8583371909253,16482.0
RU,7967.894031668697,13740.846316093517,98967.0
RW,1052.5948905109485,703.6628315356825,1434.0
SA,11175.98057142857,8461.506988845873,10288.0
SB,70.93950177935942,27.028685644560124,26.0
SC,73.80673316708229,60.50535794942953,20.0
SD,1184.8895348837207,1337.9713518548308,3601.0
SE,20638.585084033617,16966.817085232422,40502.0
SG,11609.365648050583,10570.268959058298,12105.0
SH,7.0,4.0,0.0
SI,1265.193304535637,1361.9145567272947,3865.0
SJ,57.0,45.0,8.0
SK,1449.9614035087718,1602.7071361380622,5572.0
SL,323.83406113537114,165.41029751847285,308.0
SM,57.753171856978085,38.24667541510956,10.0
SN,755.6189555125724,442.0510795800293,1030.0
SO,488.3026315789474,140.1722657430381,418.0
SR,51.752173913043485,30.703337959993366,34.0
SS,332.03412073490813,92.93339467708056,104.0
ST,79.63621533442088,35.98755953321195,29.0
SV,442.09792284866467,433.8531205574454,1496.0
SX,55.0,51.0,4.0
SY,789.951526032316,1170.6250889663377,2089.0
SZ,262.59672131147545,200.64859202986995,195.0
TC,37.0,26.0,0.0
TD,152.61675126903552,54.431946399734116,74.0
TF,6.0,6.0,0.0
TG,158.31078610603285,179.7553007542585,254.0
TH,5348.693648816936,4821.752069521369,10323.0
TJ,114.63770250368187,153.75562686165398,345.0
TK,3.0,2.0,0.0
TL,282.2279151943463,120.06403461384049,107.0
TM,23.25940860215054,38.61852702030117,19.0
TN,1263.8838797814205,1559.89780343061,5333.0
TO,19.956698240866036,14.495203407359451,15.0
TR,13578.093567251462,15966.403444525275,141372.0
TT,298.66093366093367,310.0106805391929,506.0
TV,6.7090352220520675,4.123297828546328,0.0
TW,8902.961123110152,8949.91560621996,29768.0
TZ,1918.6992481203006,1227.839550767162,4630.0
UA,3315.6594005449588,5397.4864963907585,70087.0
UG,2206.3690909090906,1680.5436352434083,5683.0
UM,41.0,34.0,1.0
US,201941.1370010787,162441.8002465368,923151.0
UY,1199.1578313253015,1373.1109807296027,5145.0
UZ,674.7276478679503,686.25917290384,5331.0
VA,132.0,118.0,21.0
VC,48.413212435233156,33.163343496827046,10.0
VE,3066.73104434907,4814.695761698912,21017.0
VG,13.0,11.0,0.0
VI,79.0,66.0,22.0
VN,4498.093663911846,5439.392442205438,11166.0
VU,67.54885993485341,31.445369314608982,32.0
WF,4.0,3.0,1.0
WS,58.609686609686605,34.70150033189284,25.0
XK,143.0,143.0,192.0
YE,918.6391509433964,509.7789221243364,1008.0
YT,24.0,14.0,2.0
ZA,11154.412831241285,8070.225440984658,66479.0
ZM,946.5571177504394,610.8336867748328,1615.0
ZW,1192.4454545454544,1501.7720055418663,3705.0
