CouName,In,Out,Self
AD,107,63,69
AE,7043,3306,4608
AF,505,865,1263
AG,58,52,3
AI,21,13,2
AL,580,750,2087
AM,399,704,3491
AO,754,712,1286
AQ,31,27,1
AR,7350,8769,42092
AS,43,27,6
AT,13705,10979,23755
AU,45907,28700,134943
AW,40,30,3
AX,15,14,1
AZ,485,808,3651
BA,553,771,2243
BB,140,148,69
BD,4021,10580,32206
BE,20393,16272,31588
BF,416,415,801
BG,1142,1578,8191
BH,647,466,350
BI,98,147,178
BJ,356,502,905
BL,8,5,0
BM,60,51,9
BN,425,278,192
BO,781,1049,3559
BQ,24,18,0
BR,30630,45547,719908
BS,119,95,36
BT,292,309,351
BV,22,29,3
BW,722,589,734
BY,446,1058,4945
BZ,73,61,36
CA,42944,35695,92944
CC,5,3,0
CD,377,735,1277
CF,76,69,61
CG,150,135,110
CH,32026,22297,35906
CI,361,413,863
CK,5,6,2
CL,9829,10238,40345
CM,794,1344,3718
CN,47780,76797,212794
CO,16235,26779,196715
CR,1852,2383,7758
CU,1911,5089,22419
CV,322,282,358
CW,102,76,4
CX,9,8,0
CY,3001,1937,3066
CZ,6433,5239,22486
DE,72936,64009,127257
DJ,28,39,15
DK,14234,9985,36244
DM,65,65,10
DO,865,1078,2715
DZ,818,1590,9846
EC,7455,9315,39671
EE,1626,1205,3478
EG,5683,11473,39526
EH,10,9,2
ER,108,201,193
ES,63467,55771,284328
ET,2099,3637,15196
FI,9067,6315,28005
FJ,410,396,1124
FK,30,22,5
FM,15,13,4
FO,75,36,45
FR,53435,52971,109337
GA,131,129,120
GB,130809,111130,297628
GD,262,261,45
GE,488,668,3610
GF,109,76,33
GG,8,8,0
GH,2226,4422,11679
GI,42,16,8
GL,91,55,29
GM,247,264,175
GN,110,147,159
GP,113,90,56
GQ,45,38,24
GR,6031,10387,26700
GS,5,5,1
GT,594,836,2479
GU,56,50,20
GW,77,64,70
GY,105,105,70
HK,10042,8002,10072
HM,2,3,0
HN,442,790,1575
HR,1249,1793,10552
HT,166,231,296
HU,4105,4677,15005
ID,6500,12628,76153
IE,11886,9584,22269
IL,6425,5882,15681
IM,36,21,7
IN,18924,56159,366215
IO,21,16,1
IQ,2683,4792,15633
IR,3831,14290,68861
IS,1252,959,1752
IT,32291,41877,164218
JE,42,30,15
JM,227,363,415
JO,3374,4180,6724
JP,27278,23486,93081
KE,3135,3749,13197
KG,329,371,1218
KH,472,537,510
KI,18,16,11
KM,45,42,12
KN,118,104,26
KP,19,35,70
KR,19744,18295,63926
KW,1356,879,849
KY,49,35,4
KZ,1781,1682,10846
LA,158,176,95
LB,1847,3434,5072
LC,23,25,1
LI,101,80,32
LK,1749,4119,11744
LR,169,188,255
LS,183,232,180
LT,1099,1188,9779
LU,2714,1226,1447
LV,603,660,4221
LY,687,1043,1197
MA,1155,1493,6463
MC,91,78,12
MD,289,433,2136
ME,194,190,355
MF,6,8,0
MG,183,288,543
MH,12,7,4
MK,382,516,1447
ML,223,257,370
MM,292,690,1118
MN,436,654,1731
MO,983,598,377
MP,18,15,4
MQ,55,48,31
MR,60,65,59
MS,21,20,1
MT,643,665,1201
MU,196,216,323
MV,177,139,85
MW,575,840,1506
MX,16572,17925,117682
MY,13931,11294,35122
MZ,685,1109,2393
NA,465,418,550
NC,138,96,46
NE,183,170,152
NF,4,2,0
NG,3656,10710,49288
NI,533,690,1732
NL,30904,26170,46577
NO,9820,5506,18595
NP,1555,2735,6473
NR,12,11,2
NU,1,1,1
NZ,8385,6646,16151
OM,1860,1182,941
PA,1305,1151,3649
PE,7403,9266,113172
PF,93,68,41
PG,200,210,245
PH,2064,4000,23733
PK,5652,12491,45415
PL,9235,10094,75143
PM,1,0,0
PN,10,6,1
PR,1449,1745,1634
PS,854,1142,1772
PT,24417,21192,155625
PW,15,15,3
PY,944,921,3343
QA,3155,1419,1806
RE,177,152,98
RO,2163,3902,22661
RS,1401,2475,16482
RU,8071,14304,98967
RW,799,940,1434
SA,12445,8062,10288
SB,48,39,26
SC,73,61,20
SD,764,2082,3601
SE,22533,15812,40502
SG,12959,9660,12105
SH,7,4,0
SI,1328,1324,3865
SJ,57,45,8
SK,1420,1676,5572
SL,195,267,308
SM,55,40,10
SN,545,590,1030
SO,272,265,418
SR,42,39,34
SS,187,162,104
ST,58,50,29
SV,354,539,1496
SX,55,51,4
SY,531,1752,2089
SZ,215,249,195
TC,37,26,0
TD,87,93,74
TF,6,6,0
TG,128,215,254
TH,5275,5146,10323
TJ,97,182,345
TK,3,2,0
TL,193,170,107
TM,21,44,19
TN,1050,1879,5333
TO,17,17,15
TR,13507,16784,141372
TT,284,337,506
TV,6,5,0
TW,9686,8511,29768
TZ,1306,1825,4630
UA,2856,6371,70087
UG,1581,2276,5683
UM,41,34,1
US,223275,150911,923151
UY,1175,1423,5145
UZ,580,801,5331
VA,132,118,21
VC,46,37,10
VE,2608,5751,21017
VG,13,11,0
VI,79,66,22
VN,3632,6795,11166
VU,51,41,32
WF,4,3,1
WS,49,41,25
XK,143,143,192
YE,520,926,1008
YT,24,14,2
ZA,10937,8911,66479
ZM,684,839,1615
ZW,855,2034,3705
