Country,City,Stay,Leave
US,Little Rock,8,0
AU,Hobart,7,0
US,Dallas,7,0
US,Las Cruces,5,0
US,Kingston,5,0
US,Laramie,4,0
US,Pocatello,4,0
US,Melbourne,4,0
US,Norfolk,4,0
US,Nashville,4,0
GB,Swansea,4,0
US,Boulder,3,0
US,Notre Dame,3,0
GB,Canterbury,3,0
US,Portland,3,0
US,Louisville,3,0
US,Richmond,3,0
US,Macomb,3,0
US,Bowling Green,3,0
US,Kalamazoo,3,0
NZ,Lincoln,3,0
DE,Kiel,3,0
AU,Ballarat,3,0
DE,Jena,3,0
US,Fairfax,3,0
US,Vermillion,2,0
US,Waco,2,0
US,Memphis,2,0
LT,Kaunas,2,0
JP,Kitakyushu,2,0
DE,Siegen,2,0
DE,Ingolstadt,2,0
US,Coral Gables,2,0
SE,Västerås,2,0
US,Kansas City,2,0
LU,Luxembourg,2,0
DE,Tübingen,2,0
US,Reno,2,0
NO,Bergen,2,0
AU,Armidale,2,0
GB,Paisley,2,0
US,Bangor,2,0
DE,Paderborn,2,0
US,Waltham,2,0
US,Lemont,2,0
US,Johnson City,2,0
US,Medford,2,0
US,Harrisburg,2,0
US,Bethlehem,2,0
ES,Leioa,1,0
GB,Swindon,1,0
AE,Sharjah,1,0
US,Allendale,1,0
AU,Lismore,1,0
KR,Iksan,1,0
ES,Oviedo,1,0
US,Livonia,1,0
US,South Orange,1,0
KE,Limuru,1,0
US,Rapid City,1,0
US,New Castle,1,0
DE,Cologne,1,0
US,Idaho Falls,1,0
CN,Zhenjiang,1,0
SE,Malmö,1,0
AU,Bathurst,1,0
MY,Subang Jaya,1,0
DE,Braunschweig,1,0
PK,Malakand,1,0
US,Fort Worth,1,0
US,Tuskegee,1,0
ES,Valencia,1,0
ZA,Grahamstown,1,0
JP,Matsuyama,1,0
SI,Maribor,1,0
DE,Regensburg,1,0
IT,L'Aquila,1,0
AE,Al Ain City,1,0
US,Montclair,1,0
US,Saint Charles,1,0
RO,Bucharest,1,0
US,Mobile,1,0
MY,Jitra,1,0
TW,Jiayi Shi,1,0
TR,Ankara,1,0
US,Bronx,1,0
FR,Villeneuve-d'Ascq,1,0
US,Webster Groves,1,0
US,Winston-Salem,1,0
US,Dayton,1,0
DE,Mainz,1,0
CA,Thunder Bay,1,0
DE,Mittweida,1,0
US,Garden City,1,0
TZ,Dar es Salaam,1,0
UA,Kyiv,1,0
US,Oklahoma City,1,0
IQ,Najaf,1,0
US,Ypsilanti,1,0
JP,Saitama,1,0
ZW,Bulawayo,1,0
US,Farmington,1,0
US,San Jose,1,0
AU,Fremantle,1,0
