Country,Stay,Leave
IQ,1,0
AR,1,0
MN,1,0
EE,1,0
RU,20,10
KZ,4,2
US,2612,1538
CH,51,32
MO,54,34
AU,313,204
IR,3,2
IE,29,24
JP,295,251
TH,8,7
HK,200,183
NZ,17,16
CA,249,235
ES,46,44
UA,6,6
GB,808,821
SA,14,15
DE,175,191
NL,108,124
MY,13,15
BE,32,40
PT,6,8
VN,2,3
TR,2,3
FI,26,42
SE,83,136
IT,29,49
DK,40,68
PL,10,18
KR,57,106
SG,134,252
AE,2,4
PK,1,2
ZA,1,2
LU,1,2
FR,77,163
AT,3,7
BD,1,3
ZW,1,3
NO,11,34
TW,12,48
HU,1,4
BR,2,12
IL,1,7
GR,1,18
GU,0,1
IN,0,3
CY,0,1
PH,0,8
IS,0,1
BI,0,1
MX,0,1
BY,0,3
CZ,0,2
RS,0,1
NP,0,1
EG,0,1
MA,0,1
LB,0,2
ID,0,1
