Country,Stay,Leave
LT,2,0
LU,2,0
IR,2,0
TZ,1,0
UA,1,0
ZW,1,0
CL,1,0
MN,1,0
EG,1,0
PS,1,0
MU,1,0
KE,3,1
US,1675,743
AU,158,79
AE,2,1
IE,48,25
ET,5,3
BD,3,2
HU,3,2
JP,44,31
PK,4,3
FI,41,31
SG,55,44
HK,6,5
BR,3,3
NG,3,3
ZA,2,2
BW,2,2
QA,1,1
RO,1,1
SE,79,81
DE,170,181
IT,20,24
MY,16,20
NO,8,10
CH,27,45
TW,7,12
NZ,15,26
IL,4,7
CA,79,143
GB,296,548
BE,19,37
IQ,3,6
KR,13,27
EE,3,7
NP,5,12
RU,4,10
PL,3,8
NL,54,145
LK,10,29
SI,1,3
TR,1,3
ES,9,32
PT,3,11
TH,8,30
FR,28,111
SA,2,10
DK,2,15
AT,1,10
CN,1,13
TM,0,1
GR,0,4
NI,0,1
PA,0,3
BG,0,2
GH,0,1
CZ,0,12
PH,0,3
RS,0,3
MP,0,1
MT,0,1
UG,0,2
BT,0,1
ID,0,10
RW,0,1
YE,0,3
MX,0,1
