Country,HDI,
CH,0.967 ,
NO,0.966 ,
IS,0.959 ,
HK,0.956 ,
DK,0.952 ,
SE,0.952 ,
DE,0.950 ,
IE,0.950 ,
SG,0.949 ,
AU,0.946 ,
NL,0.946 ,
BE,0.942 ,
FI,0.942 ,
LI,0.942 ,
GB,0.940 ,
NZ,0.939 ,
AE,0.937 ,
CA,0.935 ,
KR,0.929 ,
LU,0.927 ,
US,0.927 ,
AT,0.926 ,
SI,0.926 ,
TW,0.926 ,
MO,0.922 ,
JP,0.920 ,
IL,0.915 ,
MT,0.915 ,
ES,0.911 ,
FR,0.910 ,
CY,0.907 ,
IT,0.906 ,
EE,0.899 ,
CZ,0.895 ,
GR,0.893 ,
BH,0.888 ,
AD,0.884 ,
PL,0.881 ,
LV,0.879 ,
LT,0.879 ,
HR,0.878 ,
QA,0.875 ,
SA,0.875 ,
PT,0.874 ,
SM,0.867 ,
CL,0.860 ,
SK,0.855 ,
TR,0.855 ,
HU,0.851 ,
AR,0.849 ,
KW,0.847 ,
ME,0.844 ,
KN,0.838 ,
UY,0.830 ,
RO,0.827 ,
AG,0.826 ,
BN,0.823 ,
RU,0.821 ,
BS,0.820 ,
PA,0.820 ,
OM,0.819 ,
GE,0.814 ,
TT,0.814 ,
BB,0.809 ,
MY,0.807 ,
CR,0.806 ,
RS,0.805 ,
TH,0.803 ,
KZ,0.802 ,
SC,0.802 ,
BY,0.801 ,
BG,0.799 ,
PW,0.797 ,
MU,0.796 ,
GD,0.793 ,
AL,0.789 ,
CN,0.788 ,
AM,0.786 ,
MX,0.781 ,
IR,0.780 ,
LK,0.780 ,
BA,0.779 ,
VC,0.772 ,
DO,0.766 ,
EC,0.765 ,
MK,0.765 ,
CU,0.764 ,
MD,0.763 ,
MV,0.762 ,
PE,0.762 ,
AZ,0.760 ,
BR,0.760 ,
CO,0.758 ,
LY,0.746 ,
DZ,0.745 ,
TM,0.744 ,
GY,0.742 ,
MN,0.741 ,
DM,0.740 ,
TO,0.739 ,
JO,0.736 ,
UA,0.734 ,
TN,0.732 ,
MH,0.731 ,
PY,0.731 ,
FJ,0.729 ,
EG,0.728 ,
UZ,0.727 ,
VN,0.726 ,
LC,0.725 ,
LB,0.723 ,
ZA,0.717 ,
PS,0.716 ,
ID,0.713 ,
PH,0.710 ,
BW,0.708 ,
JM,0.706 ,
WS,0.702 ,
KG,0.701 ,
BZ,0.700 ,
VE,0.699 ,
BO,0.698 ,
MA,0.698 ,
NR,0.696 ,
GA,0.693 ,
SR,0.690 ,
BT,0.681 ,
TJ,0.679 ,
SV,0.674 ,
IQ,0.673 ,
BD,0.670 ,
NI,0.669 ,
CV,0.661 ,
TV,0.653 ,
GQ,0.650 ,
IN,0.644 ,
FM,0.634 ,
GT,0.629 ,
KI,0.628 ,
HN,0.624 ,
LA,0.620 ,
VU,0.614 ,
ST,0.613 ,
SZ,0.610 ,
NA,0.610 ,
MM,0.608 ,
GH,0.602 ,
KE,0.601 ,
NP,0.601 ,
KH,0.600 ,
CG,0.593 ,
AO,0.591 ,
CM,0.587 ,
KM,0.586 ,
ZM,0.569 ,
PG,0.568 ,
TL,0.566 ,
SB,0.562 ,
SY,0.557 ,
HT,0.552 ,
UG,0.550 ,
ZW,0.550 ,
NG,0.548 ,
RW,0.548 ,
TG,0.547 ,
MR,0.540 ,
PK,0.540 ,
CI,0.534 ,
TZ,0.532 ,
LS,0.521 ,
SN,0.517 ,
SD,0.516 ,
DJ,0.515 ,
MW,0.508 ,
BJ,0.504 ,
GM,0.495 ,
ER,0.493 ,
ET,0.492 ,
LR,0.487 ,
MG,0.487 ,
GW,0.483 ,
CD,0.481 ,
GN,0.471 ,
AF,0.462 ,
MZ,0.461 ,
SL,0.458 ,
BF,0.438 ,
YE,0.424 ,
BI,0.420 ,
ML,0.410 ,
TD,0.394 ,
NE,0.394 ,
CF,0.387 ,
SS,0.381 ,
SO,0.380 ,
