OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
3.132056734047299,https://ror.org/04p2y4s44,PL,Warsaw,Medical University of Warsaw,education
2.8035607089510863,https://ror.org/035145p50,DZ,Béchar,University of Bechar,education
2.705369114608263,https://ror.org/04ymc1w90,UA,Mykolayiv,Admiral Makarov National University of Shipbuilding,education
2.334575645466505,https://ror.org/02mw21745,HR,Zagreb,Rudjer Boskovic Institute,facility
2.322378105490409,https://ror.org/02kbmgc12,FR,Paris,AgroParisTech,education
2.322378105490409,https://ror.org/033c46s90,FR,Rennes,European University of Brittany,education
2.3025931758989815,https://ror.org/021vseb03,MX,Tlaxcala,Autonomous University of Tlaxcala,education
2.2771891650717087,https://ror.org/01egahc47,GB,London,Royal College of Art,education
2.2553190839938257,https://ror.org/05nj7my03,HU,Sopron,University of Sopron,education
2.219857235358714,https://ror.org/038x2fh14,US,Los Angeles,Charles R. Drew University of Medicine and Science,education
2.216316147826152,https://ror.org/032tx7v10,US,Morristown,College of Saint Elizabeth,education
2.214913517798387,https://ror.org/01mdqeh78,GE,Tbilisi,Agricultural University of Georgia,education
2.1862260780676395,https://ror.org/04mw0df78,US,Raleigh,North Carolina Community College System,education
2.160376760955347,https://ror.org/013sm1c65,PL,Wrocław,Wroclaw University of Economics and Business,education
2.145845609378766,https://ror.org/052tfzs89,US,Town of Newbury,Plum Island Ecosystems Long Term Ecological Research,facility
2.1444943859897587,https://ror.org/012d0ge65,AT,Wiener Neustadt,AC2T Research (Austria),company
2.138291798016343,https://ror.org/036vgbd10,IL,Jerusalem,David Yellin College of Education,education
2.138291798016343,https://ror.org/04cg6c004,IL,Tel Aviv,Academic College of Tel Aviv-Yafo,education
2.1328829734643446,https://ror.org/02t4ekc95,PL,Łódź,Medical University of Lodz,education
2.1307617211848,https://ror.org/018xp1p31,US,Carmel,ITT Technical Institute,education
2.1307617211848,https://ror.org/049sfwc36,US,"Washington, D.C.",National Intelligence University,education
2.1306487720013343,https://ror.org/05fw97k56,RU,Krasnoyarsk,Siberian Federal University,education
2.124432655015562,https://ror.org/037tapg39,GB,London,Kingston College,education
2.1126705540753457,https://ror.org/0473ch268,RU,Moscow,Russian State University for the Humanities,education
2.0950727105720794,https://ror.org/025s1b152,FR,Lille,Université Catholique de Lille,education
2.0924523129224233,https://ror.org/04as3rk94,FR,La Tronche,Grenoble Institute of Neurosciences,facility
2.0904568285934526,https://ror.org/0541v4g57,AT,Graz,University of Music and Performing Arts Graz,education
2.0868959437082526,https://ror.org/05xevhk22,US,Tiffin,Tiffin University,education
2.076298379583511,https://ror.org/019kqby73,FR,Marseille,Institut de Neurosciences des Systèmes,facility
2.076298379583511,https://ror.org/01rs1gy10,FR,Vinon-sur-Verdon,CEA Cadarache,government
2.0760649781786715,https://ror.org/007fxh757,BR,Americana,Centro Universitário Salesiano de São Paulo,education
