OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
3.3186611233835714,https://ror.org/04y7eh037,LT,Kaunas,Vytautas Magnus University,education
3.2793935553772595,https://ror.org/04je6yw13,SN,Dakar,Cheikh Anta Diop University,education
3.0308644040580925,https://ror.org/02mw21745,HR,Zagreb,Rudjer Boskovic Institute,facility
2.7157485029024513,https://ror.org/05fd1hd85,GE,Tbilisi,Tbilisi State University,education
2.677406245549402,https://ror.org/004wf8x96,IN,Gorakhpur,Deen Dayal Upadhyaya Gorakhpur University,education
2.661381872997096,https://ror.org/033c46s90,FR,Rennes,European University of Brittany,education
2.5317805943668525,https://ror.org/01a8ajp46,FR,Clermont-Ferrand,University of Clermont Auvergne,education
2.531779801399702,https://ror.org/059et2b68,DZ,Oran,Université Oran 1 Ahmed Ben Bella,education
2.4836646754145058,https://ror.org/00s8fpf52,PL,Lodz,Lodz University of Technology,education
2.468779370959859,https://ror.org/00qakfc35,DE,Pforzheim,Pforzheim University of Applied Sciences,education
2.428914487399552,https://ror.org/041kdhz15,CM,Buea,University of Buea,education
2.416493711417652,https://ror.org/00bvhmc43,ES,Madrid,Spanish National Cancer Research Centre,facility
2.4104184102625017,https://ror.org/00dmpgj58,TN,Sousse,University of Sousse,education
2.31793633104346,https://ror.org/01me6gb93,LT,Kaunas,Kaunas University of Technology,education
2.309177291452789,https://ror.org/00aamz256,GE,Tbilisi,Georgian Technical University,education
2.2792498916223227,https://ror.org/01jp0tk64,SN,Saint-Louis,Université Gaston Berger,education
2.23332903654408,https://ror.org/02cp04407,FR,Limoges,University of Limoges,education
2.1686660271144085,https://ror.org/05kmcre68,US,Berea,Berea College,education
2.1641030683120897,https://ror.org/03yn8s215,AT,Vienna,Vienna University of Economics and Business,education
2.156775736623516,https://ror.org/006sgpv47,MA,Agadir,Université Ibn Zohr,education
2.155717329281539,https://ror.org/00b1c9541,DE,Stuttgart,University of Hohenheim,education
2.153133222488779,https://ror.org/04tp6pr14,ID,Bandung,Bandung Islamic University,education
2.152529976633613,https://ror.org/003d3xx08,ES,Almería,University of Almería,education
2.1489711094224613,https://ror.org/036b2ww28,ES,Málaga,Universidad de Málaga,education
2.148863458392937,https://ror.org/025602r80,IT,Pisa,Sant'Anna School of Advanced Studies,education
2.147618518441928,https://ror.org/01215r597,FR,Valbonne,"Laboratoire d'Informatique, Signaux et Systèmes de Sophia Antipolis",facility
2.147618518441928,https://ror.org/01c8rcg82,FR,Grenoble,Grenoble Computer Science Laboratory,facility
2.146450933399395,https://ror.org/032tx7v10,US,Morristown,College of Saint Elizabeth,education
2.146450933399395,https://ror.org/05a0dhs15,FR,Paris,École Normale Supérieure - PSL,other
2.1452511196470008,https://ror.org/037rt4a55,KR,Wanju,National Academy of Agricultural Science,facility
2.124203720043045,https://ror.org/02f9det96,DE,Hildesheim,University of Hildesheim,education
2.123142182975432,https://ror.org/03b3tk155,SY,Aleppo,Cordoba Private University,education
2.1125345160670728,https://ror.org/01zzmf129,CN,Xi’an,Xi’an University,education
2.099519720627451,https://ror.org/01yqewm58,RU,Krasnodar,Kuban State University,education
2.099124136214825,https://ror.org/02e3hdx05,DE,Trier,Trier University of Applied Sciences,education
2.096821251018684,https://ror.org/03n6nwv02,ES,Madrid,Universidad Politécnica de Madrid,education
2.0967929497355464,https://ror.org/02wxx3e24,DE,Cottbus,Brandenburg University of Technology Cottbus-Senftenberg,education
2.0912778692566407,https://ror.org/00v0z9322,RU,Dolgoprudnyy,Moscow Institute of Physics and Technology,education
2.071876349990503,https://ror.org/02d9tbb08,US,Dearborn,Henry Ford College,education
2.0616559119749356,https://ror.org/00y7snj24,US,Kirkland,Northwest University,education
2.042493964892001,https://ror.org/051j7cj03,US,Minot,Minot State University,education
2.030880308752727,https://ror.org/038483r84,IT,Rome,Eni (Italy),company
2.0276382440132394,https://ror.org/03f9nc143,RU,Skolkovo,Skolkovo Institute of Science and Technology,education
2.023366634383504,https://ror.org/04xvmv949,SE,Gothenburg,Stiftelsen Anna och Gunnar Vidfelts Fond för Biologisk Forskning,nonprofit
2.01694910399433,https://ror.org/03anc3s24,AT,Vienna,Austrian Academy of Sciences,government
2.0147749987109345,https://ror.org/02k5kx966,ES,Cartagena,Universidad Politécnica de Cartagena,education
2.0045075757547806,https://ror.org/01akgs808,UA,Kyiv,National Transport University,education
2.00425658746062,https://ror.org/04r5xzk86,UA,Zhytomyr,Zhytomyr Polytechnic State University,education
1.9414040060887718,https://ror.org/032fvf508,IE,Sligo,Institute of Technology Sligo,education
1.9359616552729009,https://ror.org/0423jsj19,FR,Jouy-en-Josas,HEC Paris,education
1.935387523969783,https://ror.org/02bjhwk41,GE,Tbilisi,University of Georgia,education
1.92095311938959,https://ror.org/02gkfsf47,BE,Brussels,LUCA School of Arts,education
1.8908159870987011,https://ror.org/02wk2vx54,MK,Skopje,Saints Cyril and Methodius University of Skopje,education
1.8877774316528297,https://ror.org/02nwxzm09,US,Lansing,Lansing Community College,education
1.8808784644892969,https://ror.org/013m0ej23,CA,Waterloo,Perimeter Institute,facility
1.8759221214686967,https://ror.org/05nqdns93,US,Los Angeles,Pacific States University,education
1.8581762595906415,https://ror.org/031bsb921,DE,Mannheim,University of Mannheim,education
1.8523955350019754,https://ror.org/05jds5x60,SD,Khartoum,University of Bahri,education
1.8523514561704433,https://ror.org/05350h943,DE,Bonn,Center of Advanced European Studies and Research,facility
1.84679604304605,https://ror.org/01111rn36,IT,Bologna,University of Bologna,education
1.8409873991590762,https://ror.org/00s409261,IT,Varese,University of Insubria,education
1.8392449566769966,https://ror.org/046ffzj20,ES,Santander,Universidad de Cantabria,education
1.8137179157051997,https://ror.org/031my5009,MY,Kuala Lumpur,Asia e University,education
1.809556887407899,https://ror.org/01460j859,ES,Valencia,Universitat Politècnica de València,education
1.8064931038682575,https://ror.org/057w15z03,NL,Rotterdam,Erasmus University Rotterdam,education
1.7887354050341029,https://ror.org/02s3pgd18,US,Nashua,Rivier University,education
1.7887354050341029,https://ror.org/04y3rfg91,IN,Gandhinagar,Central University of Gujarat,education
1.7865883339690851,https://ror.org/048j5n646,UA,Kharkiv,National Aerospace University – Kharkiv Aviation Institute,education
1.7865883339690851,https://ror.org/04r2x0j90,AE,Dubai,Middlesex University Dubai,education
1.7859057123437192,https://ror.org/05g3mes96,LV,Riga,University of Latvia,education
1.777954308274181,https://ror.org/0107c5v14,IT,Genoa,University of Genoa,education
1.777250954994982,https://ror.org/048fyec77,AU,Melbourne,Murdoch Children's Research Institute,nonprofit
1.7745376546313403,https://ror.org/015h0qg34,PL,Lublin,Maria Curie-Skłodowska University,education
1.7744779252865193,https://ror.org/00p7p3302,PL,Poznan,Poznań University of Technology,education
1.7735973735233772,https://ror.org/006x4sc24,PL,Gdansk,Gdańsk University of Technology,education
1.7730558007340933,https://ror.org/04b8v1s79,NL,Tilburg,Tilburg University,education
1.7717461507258758,https://ror.org/0596m7f19,PL,Szczecin,West Pomeranian University of Technology,education
1.7698852896799577,https://ror.org/0102mm775,PL,Torun,Nicolaus Copernicus University,education
1.767587341097353,https://ror.org/05p6qqk79,FI,Tampere,University of Tampere,education
1.7663833144435033,https://ror.org/03vx93323,NO,Oslo,Norsk Hydro (Norway),company
1.7629967652423677,https://ror.org/00d7xrm67,AT,Graz,Graz University of Technology,education
1.7577721956100487,https://ror.org/0165d9303,IN,Allahābād,Harish-Chandra Research Institute,education
1.751369223434518,https://ror.org/04e9czp26,TR,Istanbul,Mimar Sinan Güzel Sanatlar Üniversitesi,education
1.7311252971698474,https://ror.org/02t1bej08,AU,Melbourne,Monash Health,healthcare
1.7254861102118941,https://ror.org/01qjrx392,LI,Vaduz,University of Liechtenstein,education
1.7189170877772322,https://ror.org/028rypz17,FR,Orsay,University of Paris-Sud,education
1.692128304235528,https://ror.org/044k9ta02,IT,Palermo,University of Palermo,education
1.6882007540930584,https://ror.org/02y28sc20,IN,Shānti Niketan,Visva-Bharati University,education
1.6871913890579195,https://ror.org/011pcwc98,US,Stanford,Stanford University School of Medicine,other
1.6814014548600655,https://ror.org/0491yz035,IN,Kolkata,Saha Institute of Nuclear Physics,facility
