Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
2,https://ror.org/00033n668 -> https://ror.org/00033n668,https://ror.org/00033n668,https://ror.org/00033n668,XK,XK,Pristina,Pristina,University for Business and Technology,University for Business and Technology,education,education
1,https://ror.org/0003ewr82 -> https://ror.org/0003ewr82,https://ror.org/0003ewr82,https://ror.org/0003ewr82,IN,IN,Jhānsi,Jhānsi,Bundelkhand University,Bundelkhand University,education,education
5,https://ror.org/0004vyj87 -> https://ror.org/0004vyj87,https://ror.org/0004vyj87,https://ror.org/0004vyj87,EG,EG,Alexandria,Alexandria,"Arab Academy for Science, Technology, and Maritime Transport","Arab Academy for Science, Technology, and Maritime Transport",education,education
1,https://ror.org/0004vyj87 -> https://ror.org/007f1da21,https://ror.org/0004vyj87,https://ror.org/007f1da21,EG,IQ,Alexandria,Baghdad,"Arab Academy for Science, Technology, and Maritime Transport",University of Baghdad,education,education
1,https://ror.org/0004vyj87 -> https://ror.org/00qm7b611,https://ror.org/0004vyj87,https://ror.org/00qm7b611,EG,EG,Alexandria,Alexandria,"Arab Academy for Science, Technology, and Maritime Transport",Alexandria Higher Institute of Engineering and Technology,education,education
1,https://ror.org/0004vyj87 -> https://ror.org/0219pnb09,https://ror.org/0004vyj87,https://ror.org/0219pnb09,EG,EG,Alexandria,Cairo,"Arab Academy for Science, Technology, and Maritime Transport",New Cairo Academy,education,other
7,https://ror.org/0004wsx81 -> https://ror.org/0004wsx81,https://ror.org/0004wsx81,https://ror.org/0004wsx81,ID,ID,Bandung,Bandung,Telkom University,Telkom University,education,education
1,https://ror.org/0004wsx81 -> https://ror.org/0116zj450,https://ror.org/0004wsx81,https://ror.org/0116zj450,ID,ID,Bandung,Depok,Telkom University,University of Indonesia,education,education
1,https://ror.org/000548d77 -> https://ror.org/050850526,https://ror.org/000548d77,https://ror.org/050850526,NG,NG,Jalingo,Umuahia,Taraba State University,Michael Okpara University of Agriculture,education,education
3,https://ror.org/0005w8d69 -> https://ror.org/0005w8d69,https://ror.org/0005w8d69,https://ror.org/0005w8d69,IT,IT,Camerino,Camerino,Università di Camerino,Università di Camerino,education,education
