OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
1.9938339591731211,https://ror.org/03paakw30,JP,Makurazaki,Jiseikai Welfare Kyusyu Hospital,healthcare
1.9065302659595191,https://ror.org/025bm0k33,JP,Kawasaki,Kawasaki Municipal Hospital,healthcare
1.8732964681236204,https://ror.org/03tj1w486,JP,Fukuoka,Haradoi Hospital,healthcare
1.8600790391386337,https://ror.org/0155e5d19,JP,Tokyo,National Police Academy,education
1.730680637062417,https://ror.org/04whwem28,JP,Tokyo,Japan College of Social Work,education
1.6968504395143074,https://ror.org/02zsmpq40,JP,Kyoto,Kyoto Prefectural Police,government
1.665128064119205,https://ror.org/04c3ebg91,JP,Tokyo,Tokyo Metropolitan Tama Medical Center,healthcare
1.6341909549922646,https://ror.org/03x1wer98,JP,Tokyo,Kaetsu University,education
1.6331873506730772,https://ror.org/02qa5hr50,JP,Tokyo,Mitsui Memorial Hospital,healthcare
1.6211545467423996,https://ror.org/03adh2020,JP,Kure,Kure Kyosai Hospital,healthcare
1.6211545467423996,https://ror.org/03b657f73,JP,Kōryō Chō,Kio University,education
1.578020362303071,https://ror.org/02xjxgz53,JP,Jōetsu,Joetsu University of Education,education
1.5663368096430972,https://ror.org/02900by63,JP,Tokyo,Japanese Society of Clinical Pharmacology and Therapeutics,other
1.4856613791502682,https://ror.org/057g1dn72,JP,Kumamoto,Kumamoto Central Hospital,healthcare
1.4418908456207673,https://ror.org/02qh3e530,JP,Sapporo,Hokkaido Pharmaceutical University,education
1.4299323865189073,https://ror.org/0431x1p15,JP,Shibukawa,Gunma Children's Medical Center,healthcare
1.4284284738644017,https://ror.org/022h0tq76,JP,Yokohama,Kanagawa Children's Medical Center,healthcare
1.4265840483023158,https://ror.org/02s22e816,JP,Kitakyushu,Kyushu International University,education
1.3853269750816282,https://ror.org/05mxean80,JP,Osaka,Osaka City University Hospital,healthcare
1.3386995951003895,https://ror.org/036pfyf12,JP,Hamamatsu,Seirei Hamamatsu General Hospital,healthcare
1.3287569342492767,https://ror.org/00y809n33,JP,Tokyo,Tokyo University of the Arts,education
1.322028409312127,https://ror.org/04n6qtb21,JP,Kanoya,National Institute of Fitness and Sports in Kanoya,education
1.3001435348051167,https://ror.org/01nqa4s53,JP,Sakata,Nihonkai General Hospital,healthcare
1.2331231158996576,https://ror.org/03rmfrm44,JP,Yokohama,Institute of Information Security,education
1.182685490167955,https://ror.org/057zh3y96,JP,Tokyo,The University of Tokyo,education
1.1689414875390225,https://ror.org/03gz5xp73,JP,Tokyo,National Graduate Institute for Policy Studies,education
1.116551854178046,https://ror.org/03savr706,JP,Tokyo,"Temple University, Japan",education
1.1050391539254805,https://ror.org/02kpeqv85,JP,Kyoto,Kyoto University,education
1.0945902199221866,https://ror.org/0516ah480,JP,Hayama,"The Graduate University for Advanced Studies, SOKENDAI",education
1.0936247128819578,https://ror.org/04jqj7p05,JP,Tokyo,Hitotsubashi University,education
1.0789782031679571,https://ror.org/01jhgy173,JP,Osaka,Kishiwada City Hospital,healthcare
1.0724171500534987,https://ror.org/0112mx960,JP,Tokyo,Tokyo Institute of Technology,education
1.0600070902736376,https://ror.org/00jy2zq62,JP,Tajimi,Gifu Prefectural Tajimi Hospital,healthcare
1.0467360363826124,https://ror.org/035t8zc32,JP,Osaka,Osaka University,education
1.0307081724845233,https://ror.org/054dx8336,JP,Takizawa,Iwate Prefectural University,education
1.0237166034992802,https://ror.org/01s1hm369,JP,Tokyo,Nippon Dental University,education
1.0199700842816448,https://ror.org/03frj4r98,JP,Nomi Shi,Japan Advanced Institute of Science and Technology,education
1.0133436932489532,https://ror.org/05nq89q24,JP,Osaka,Institute for Fermentation,other
0.9813294727066849,https://ror.org/02pg0e883,JP,Fukushima,University of Aizu,education
0.9595638131064741,https://ror.org/02e16g702,JP,Sapporo,Hokkaido University,education
0.9592736423477799,https://ror.org/01d1kad18,JP,Otaru,Otaru Municipal Hospital,healthcare
0.9265846571536972,https://ror.org/03qg42k57,JP,Ishinomaki,Ishinomaki Senshu University,education
0.9253832906040875,https://ror.org/01dq60k83,JP,Sendai,Tohoku University,education
0.9239069881245578,https://ror.org/00xz1cn67,JP,Kumamoto,Saiseikai Kumamoto Hospital,healthcare
0.9081941150766517,https://ror.org/02skfsw40,JP,Osaka,Osaka City University,education
0.9065579717587969,https://ror.org/02kn6nx58,JP,Tokyo,Keio University,education
0.9010597668469322,https://ror.org/057jm7w82,JP,Hachiōji,Tokyo University of Pharmacy and Life Sciences,education
0.8863216700516827,https://ror.org/02hxajc23,JP,Kyoto,Kyoto City University of Arts,education
0.8824792012232828,https://ror.org/0504dfg48,JP,Sendai,Tohoku Gakuin University,education
0.8733222442072707,https://ror.org/00p4k0j84,JP,Fukuoka,Kyushu University,education
0.8630410101758352,https://ror.org/00e5yzw53,JP,Tokyo,St. Luke's International University,education
0.8621424864459882,https://ror.org/04d139241,JP,Nagoya,Tokai National Higher Education and Research System,education
0.8583135595975396,https://ror.org/02956yf07,JP,Tsukuba,University of Tsukuba,education
0.8430148981222123,https://ror.org/0220f5b41,JP,Chiba,Tokyo Dental College,education
0.8407435904869789,https://ror.org/01ytgve10,JP,Kyoto,Kyoto Pharmaceutical University,education
0.8308498268757251,https://ror.org/03kb7hq55,JP,Kurume,Kurume Institute of Technology,education
0.829777549417624,https://ror.org/05bhada84,JP,Ikoma,Nara Institute of Science and Technology,education
0.8266760215481875,https://ror.org/00ntfnx83,JP,Tokyo,Waseda University,education
0.8245735962125544,https://ror.org/03tgsfw79,JP,Kobe,Kobe University,education
0.8183026224383536,https://ror.org/051k3eh31,JP,Tokyo,Tokyo Medical and Dental University,education
0.8130371259078764,https://ror.org/00wm7p047,JP,Tokyo,Meiji Pharmaceutical University,education
0.8115275447115347,https://ror.org/00ws30h19,JP,Tokyo,Tokyo Metropolitan University,education
0.8100698381418262,https://ror.org/03jqhsn85,JP,Fukuoka,Seinan Gakuin University,education
0.7962074052046423,https://ror.org/0372t5741,JP,Gifu-shi,Gifu Pharmaceutical University,education
