OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
0.4999999999927244,https://ror.org/00x194q47,JP,Tokyo,Rikkyo University,education
0.4999999999927244,https://ror.org/02cgss904,JP,Kumamoto,Kumamoto University,education
0.21813896917009626,https://ror.org/00qg0kr10,JP,Tokyo,Tokyo University of Agriculture and Technology,education
0.05171317592963177,https://ror.org/02skfsw40,JP,Osaka,Osaka City University,education
4.2602123238532846e-05,https://ror.org/002rw7y37,JP,Tokyo,Aoyama Gakuin University,education
0.0,https://ror.org/00ys1hz88,JP,Nagaoka,Nagaoka University of Technology,education
0.0,https://ror.org/01cdrde68,JP,Tokyo,United Nations University,facility
0.0,https://ror.org/03t78wx29,JP,Hiroshima,Hiroshima University,education
0.0,https://ror.org/048z9th72,JP,Izumi,Momoyama Gakuin University,education
0.0,https://ror.org/04gpcyk21,JP,Tokyo,Japan Women's University,education
0.0,https://ror.org/04ww21r56,JP,Niigata,Niigata University,education
0.0,https://ror.org/055yf1005,JP,Nagoya,Nagoya Institute of Technology,education
-0.24238096158529024,https://ror.org/04jqj7p05,JP,Tokyo,Hitotsubashi University,education
-0.2424787293936813,https://ror.org/01g9ekh39,JP,Kawagoe,Tokyo International University,education
-0.3195830267333409,https://ror.org/02kpeqv85,JP,Kyoto,Kyoto University,education
-0.39501973506953747,https://ror.org/057zh3y96,JP,Tokyo,The University of Tokyo,education
-0.4027816558408674,https://ror.org/035t8zc32,JP,Osaka,Osaka University,education
-0.4409420326780199,https://ror.org/02e16g702,JP,Sapporo,Hokkaido University,education
-0.48957024074716277,https://ror.org/03tgsfw79,JP,Kobe,Kobe University,education
-0.4999999999927244,https://ror.org/04jb7yj10,JP,Matsubara,Hannan University,education
-0.4999999999927244,https://ror.org/0372t5741,JP,Gifu-shi,Gifu Pharmaceutical University,education
-0.5225439103574641,https://ror.org/02kn6nx58,JP,Tokyo,Keio University,education
-0.565330535267919,https://ror.org/0112mx960,JP,Tokyo,Tokyo Institute of Technology,education
