OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
1.0721746024667662,https://ror.org/02hxajc23,JP,Kyoto,Kyoto City University of Arts,education
1.0068534138566196,https://ror.org/04k6gr834,JP,Kyoto,Kyoto University Hospital,healthcare
0.7923444896112074,https://ror.org/03gz5xp73,JP,Tokyo,National Graduate Institute for Policy Studies,education
0.7488995025879791,https://ror.org/04whwem28,JP,Tokyo,Japan College of Social Work,education
0.7455300153803401,https://ror.org/03tj1w486,JP,Fukuoka,Haradoi Hospital,healthcare
0.5000000000033805,https://ror.org/01h7cca57,JP,Sapporo,Sapporo Medical University,education
0.5000000000033805,https://ror.org/027mg2511,JP,Tokyo,Tsuda University,education
0.5000000000033805,https://ror.org/02skfsw40,JP,Osaka,Osaka City University,education
0.49999998652279226,https://ror.org/021anqv82,JP,Tokyo,Shirayuri University,education
0.4234706729391033,https://ror.org/01529vy56,JP,Tsu,Mie University,education
0.4234706729391033,https://ror.org/0155e5d19,JP,Tokyo,National Police Academy,education
0.36846206886989663,https://ror.org/02pc6pc55,JP,Okayama,Okayama University,education
0.254423646490255,https://ror.org/03dk6an77,JP,Kure,Hiroshima International University,education
0.11146505617597466,https://ror.org/02hcx7n63,JP,Tokyo,Toho University,education
0.11062641680132881,https://ror.org/00ws30h19,JP,Tokyo,Tokyo Metropolitan University,education
0.09074899114818868,https://ror.org/00ktqrd38,JP,Kyoto,Kyoto Prefectural University,education
0.0723162815254921,https://ror.org/02kpeqv85,JP,Kyoto,Kyoto University,education
0.07210537732375441,https://ror.org/05yge8w48,JP,Tokyo,Ueno Gakuen University,education
5.454924960389747e-05,https://ror.org/001xjdh50,JP,Osaka,Kansai Medical University,education
0.0,https://ror.org/00d8gp927,JP,Ōtsu,Shiga University of Medical Science,education
0.0,https://ror.org/00y809n33,JP,Tokyo,Tokyo University of the Arts,education
0.0,https://ror.org/02278tr80,JP,Kitakyushu,Kyushu Institute of Technology,education
0.0,https://ror.org/02t9fsj94,JP,Obihiro,Obihiro University of Agriculture and Veterinary Medicine,education
0.0,https://ror.org/03cxys317,JP,Yamaguchi,Yamaguchi University,education
0.0,https://ror.org/03jqhsn85,JP,Fukuoka,Seinan Gakuin University,education
0.0,https://ror.org/03kjjhe36,JP,Tokyo,Tokyo Women's Medical University,education
0.0,https://ror.org/03mb27p64,JP,Tokyo,Tokyo Woman's Christian University,education
0.0,https://ror.org/0504dfg48,JP,Sendai,Tohoku Gakuin University,education
0.0,https://ror.org/05tjaf288,JP,Tokyo,Komazawa University,education
-0.0033240934593116236,https://ror.org/02s5jck73,JP,Machida,J. F. Oberlin University,education
-0.005799832761208372,https://ror.org/04ww21r56,JP,Niigata,Niigata University,education
-0.05738793963449021,https://ror.org/02cgss904,JP,Kumamoto,Kumamoto University,education
-0.05853230052296755,https://ror.org/057zh3y96,JP,Tokyo,The University of Tokyo,education
-0.06924777583172244,https://ror.org/00khh5r84,JP,Tokyo,Tokyo Gakugei University,education
-0.06924777583172244,https://ror.org/010996a78,JP,Niigata,International University of Japan,education
