Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
1,https://ror.org/00097mb19 -> https://ror.org/01xjv7358,https://ror.org/00097mb19,https://ror.org/01xjv7358,JP,JP,Tokyo,Kobe,Japan Science and Technology Agency,Japan Synchrotron Radiation Research Institute,government,facility
1,https://ror.org/000yk5876 -> https://ror.org/000yk5876,https://ror.org/000yk5876,https://ror.org/000yk5876,JP,JP,Sapporo,Sapporo,Sapporo City University,Sapporo City University,education,education
1,https://ror.org/001et4e78 -> https://ror.org/03cxys317,https://ror.org/001et4e78,https://ror.org/03cxys317,JP,JP,Hiroshima,Yamaguchi,Hiroshima City University,Yamaguchi University,education,education
3,https://ror.org/001et4e78 -> https://ror.org/0445phv87,https://ror.org/001et4e78,https://ror.org/0445phv87,JP,JP,Hiroshima,Toyama,Hiroshima City University,University of Toyama,education,education
3,https://ror.org/001et4e78 -> https://ror.org/05tc07s46,https://ror.org/001et4e78,https://ror.org/05tc07s46,JP,JP,Hiroshima,Matsuyama,Hiroshima City University,Matsuyama University,education,education
9,https://ror.org/001hv0k59 -> https://ror.org/001hv0k59,https://ror.org/001hv0k59,https://ror.org/001hv0k59,JP,JP,Nagoya,Nagoya,Toyota Technological Institute,Toyota Technological Institute,education,education
1,https://ror.org/001hv0k59 -> https://ror.org/01703db54,https://ror.org/001hv0k59,https://ror.org/01703db54,JP,JP,Nagoya,Tsukuba,Toyota Technological Institute,National Institute of Advanced Industrial Science and Technology,education,government
1,https://ror.org/001hv0k59 -> https://ror.org/026v1ze26,https://ror.org/001hv0k59,https://ror.org/026v1ze26,JP,JP,Nagoya,Tsukuba,Toyota Technological Institute,National Institute for Materials Science,education,facility
1,https://ror.org/001hv0k59 -> https://ror.org/02kpeqv85,https://ror.org/001hv0k59,https://ror.org/02kpeqv85,JP,JP,Nagoya,Kyoto,Toyota Technological Institute,Kyoto University,education,education
2,https://ror.org/001hv0k59 -> https://ror.org/048rj2z13,https://ror.org/001hv0k59,https://ror.org/048rj2z13,JP,JP,Nagoya,Tokyo,Toyota Technological Institute,"Ministry of Education, Culture, Sports, Science and Technology",education,government
1,https://ror.org/001hv0k59 -> https://ror.org/04d139241,https://ror.org/001hv0k59,https://ror.org/04d139241,JP,JP,Nagoya,Nagoya,Toyota Technological Institute,Tokai National Higher Education and Research System,education,education
1,https://ror.org/001hv0k59 -> https://ror.org/05nf86y53,https://ror.org/001hv0k59,https://ror.org/05nf86y53,JP,JP,Nagoya,Tōkai-mura,Toyota Technological Institute,Japan Atomic Energy Agency,education,government
4,https://ror.org/001xjdh50 -> https://ror.org/001xjdh50,https://ror.org/001xjdh50,https://ror.org/001xjdh50,JP,JP,Osaka,Osaka,Kansai Medical University,Kansai Medical University,education,education
2,https://ror.org/001xjdh50 -> https://ror.org/039ygjf22,https://ror.org/001xjdh50,https://ror.org/039ygjf22,JP,JP,Osaka,Tokyo,Kansai Medical University,Jikei University School of Medicine,education,education
1,https://ror.org/001xjdh50 -> https://ror.org/04j7mzp05,https://ror.org/001xjdh50,https://ror.org/04j7mzp05,JP,JP,Osaka,Takamatsu,Kansai Medical University,Kagawa University,education,education
1,https://ror.org/001yc7927 -> https://ror.org/001yc7927,https://ror.org/001yc7927,https://ror.org/001yc7927,JP,JP,Nishinomiya,Nishinomiya,Hyogo Medical University,Hyogo Medical University,education,education
1,https://ror.org/001yc7927 -> https://ror.org/043axf581,https://ror.org/001yc7927,https://ror.org/043axf581,JP,JP,Nishinomiya,Kawasaki,Hyogo Medical University,St. Marianna University School of Medicine,education,education
9,https://ror.org/002rw7y37 -> https://ror.org/002rw7y37,https://ror.org/002rw7y37,https://ror.org/002rw7y37,JP,JP,Tokyo,Tokyo,Aoyama Gakuin University,Aoyama Gakuin University,education,education
1,https://ror.org/002rw7y37 -> https://ror.org/00ntfnx83,https://ror.org/002rw7y37,https://ror.org/00ntfnx83,JP,JP,Tokyo,Tokyo,Aoyama Gakuin University,Waseda University,education,education
1,https://ror.org/002rw7y37 -> https://ror.org/00xy44n04,https://ror.org/002rw7y37,https://ror.org/00xy44n04,JP,JP,Tokyo,Yamagata,Aoyama Gakuin University,Yamagata University,education,education
1,https://ror.org/002rw7y37 -> https://ror.org/0112mx960,https://ror.org/002rw7y37,https://ror.org/0112mx960,JP,JP,Tokyo,Tokyo,Aoyama Gakuin University,Tokyo Institute of Technology,education,education
1,https://ror.org/002rw7y37 -> https://ror.org/01dq60k83,https://ror.org/002rw7y37,https://ror.org/01dq60k83,JP,JP,Tokyo,Sendai,Aoyama Gakuin University,Tohoku University,education,education
1,https://ror.org/002rw7y37 -> https://ror.org/01g9ekh39,https://ror.org/002rw7y37,https://ror.org/01g9ekh39,JP,JP,Tokyo,Kawagoe,Aoyama Gakuin University,Tokyo International University,education,education
1,https://ror.org/002rw7y37 -> https://ror.org/01hjzeq58,https://ror.org/002rw7y37,https://ror.org/01hjzeq58,JP,JP,Tokyo,Chiba,Aoyama Gakuin University,Chiba University,education,education
1,https://ror.org/002rw7y37 -> https://ror.org/01sjwvz98,https://ror.org/002rw7y37,https://ror.org/01sjwvz98,JP,JP,Tokyo,Wako,Aoyama Gakuin University,RIKEN,education,facility
1,https://ror.org/002rw7y37 -> https://ror.org/01v1m2411,https://ror.org/002rw7y37,https://ror.org/01v1m2411,JP,JP,Tokyo,Kyoto,Aoyama Gakuin University,The Ritsumeikan Trust,education,education
2,https://ror.org/002rw7y37 -> https://ror.org/03gb41d27,https://ror.org/002rw7y37,https://ror.org/03gb41d27,JP,JP,Tokyo,Tsukuba,Aoyama Gakuin University,Comprehensive Research Organization for Science and Society,education,education
1,https://ror.org/002rw7y37 -> https://ror.org/03thzz813,https://ror.org/002rw7y37,https://ror.org/03thzz813,JP,JP,Tokyo,Saitama,Aoyama Gakuin University,Meikai University,education,education
2,https://ror.org/002rw7y37 -> https://ror.org/048rj2z13,https://ror.org/002rw7y37,https://ror.org/048rj2z13,JP,JP,Tokyo,Tokyo,Aoyama Gakuin University,"Ministry of Education, Culture, Sports, Science and Technology",education,government
1,https://ror.org/002rw7y37 -> https://ror.org/04d139241,https://ror.org/002rw7y37,https://ror.org/04d139241,JP,JP,Tokyo,Nagoya,Aoyama Gakuin University,Tokai National Higher Education and Research System,education,education
1,https://ror.org/002rw7y37 -> https://ror.org/04dt6bw53,https://ror.org/002rw7y37,https://ror.org/04dt6bw53,JP,JP,Tokyo,Tokyo,Aoyama Gakuin University,Tokyo City University,education,education
1,https://ror.org/002rw7y37 -> https://ror.org/04j8wth34,https://ror.org/002rw7y37,https://ror.org/04j8wth34,JP,JP,Tokyo,Yokohama,Aoyama Gakuin University,Tsurumi University,education,education
1,https://ror.org/002rw7y37 -> https://ror.org/053h75930,https://ror.org/002rw7y37,https://ror.org/053h75930,JP,JP,Tokyo,Tokyo,Aoyama Gakuin University,Bunkyo University,education,education
1,https://ror.org/002rw7y37 -> https://ror.org/057zh3y96,https://ror.org/002rw7y37,https://ror.org/057zh3y96,JP,JP,Tokyo,Tokyo,Aoyama Gakuin University,The University of Tokyo,education,education
2,https://ror.org/002rw7y37 -> https://ror.org/05n7t1e46,https://ror.org/002rw7y37,https://ror.org/05n7t1e46,JP,JP,Tokyo,Machida,Aoyama Gakuin University,Wako University,education,education
