Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
1,https://ror.org/001et4e78 -> https://ror.org/03cxys317,https://ror.org/001et4e78,https://ror.org/03cxys317,JP,JP,Hiroshima,Yamaguchi,Hiroshima City University,Yamaguchi University,education,education
6,https://ror.org/001hv0k59 -> https://ror.org/001hv0k59,https://ror.org/001hv0k59,https://ror.org/001hv0k59,JP,JP,Nagoya,Nagoya,Toyota Technological Institute,Toyota Technological Institute,education,education
1,https://ror.org/001hv0k59 -> https://ror.org/05nf86y53,https://ror.org/001hv0k59,https://ror.org/05nf86y53,JP,JP,Nagoya,Tōkai-mura,Toyota Technological Institute,Japan Atomic Energy Agency,education,government
3,https://ror.org/001xjdh50 -> https://ror.org/001xjdh50,https://ror.org/001xjdh50,https://ror.org/001xjdh50,JP,JP,Osaka,Osaka,Kansai Medical University,Kansai Medical University,education,education
1,https://ror.org/002rw7y37 -> https://ror.org/002rw7y37,https://ror.org/002rw7y37,https://ror.org/002rw7y37,JP,JP,Tokyo,Tokyo,Aoyama Gakuin University,Aoyama Gakuin University,education,education
1,https://ror.org/002rw7y37 -> https://ror.org/00xy44n04,https://ror.org/002rw7y37,https://ror.org/00xy44n04,JP,JP,Tokyo,Yamagata,Aoyama Gakuin University,Yamagata University,education,education
1,https://ror.org/002rw7y37 -> https://ror.org/04j8wth34,https://ror.org/002rw7y37,https://ror.org/04j8wth34,JP,JP,Tokyo,Yokohama,Aoyama Gakuin University,Tsurumi University,education,education
11,https://ror.org/003qdfg20 -> https://ror.org/003qdfg20,https://ror.org/003qdfg20,https://ror.org/003qdfg20,JP,JP,Tokyo,Tokyo,Soka University,Soka University,education,education
1,https://ror.org/003qdfg20 -> https://ror.org/01dq60k83,https://ror.org/003qdfg20,https://ror.org/01dq60k83,JP,JP,Tokyo,Sendai,Soka University,Tohoku University,education,education
1,https://ror.org/007gj5v75 -> https://ror.org/007gj5v75,https://ror.org/007gj5v75,https://ror.org/007gj5v75,JP,JP,Atsugi,Atsugi,Kanagawa Institute of Technology,Kanagawa Institute of Technology,education,education
21,https://ror.org/00965ax52 -> https://ror.org/00965ax52,https://ror.org/00965ax52,https://ror.org/00965ax52,JP,JP,Kyoto,Kyoto,Kyoto Institute of Technology,Kyoto Institute of Technology,education,education
1,https://ror.org/00965ax52 -> https://ror.org/00qg0kr10,https://ror.org/00965ax52,https://ror.org/00qg0kr10,JP,JP,Kyoto,Tokyo,Kyoto Institute of Technology,Tokyo University of Agriculture and Technology,education,education
2,https://ror.org/00965ax52 -> https://ror.org/00r8qyj34,https://ror.org/00965ax52,https://ror.org/00r8qyj34,JP,JP,Kyoto,Shibata,Kyoto Institute of Technology,Sendai University,education,education
2,https://ror.org/00965ax52 -> https://ror.org/00xy44n04,https://ror.org/00965ax52,https://ror.org/00xy44n04,JP,JP,Kyoto,Yamagata,Kyoto Institute of Technology,Yamagata University,education,education
1,https://ror.org/00965ax52 -> https://ror.org/01hvx5h04,https://ror.org/00965ax52,https://ror.org/01hvx5h04,JP,JP,Kyoto,Osaka,Kyoto Institute of Technology,Osaka Metropolitan University,education,education
2,https://ror.org/00965ax52 -> https://ror.org/0244rem06,https://ror.org/00965ax52,https://ror.org/0244rem06,JP,JP,Kyoto,Matsumoto,Kyoto Institute of Technology,Shinshu University,education,education
2,https://ror.org/00965ax52 -> https://ror.org/02dvjfw95,https://ror.org/00965ax52,https://ror.org/02dvjfw95,JP,JP,Kyoto,Hikone,Kyoto Institute of Technology,University of Shiga Prefecture,education,education
2,https://ror.org/00965ax52 -> https://ror.org/02kpeqv85,https://ror.org/00965ax52,https://ror.org/02kpeqv85,JP,JP,Kyoto,Kyoto,Kyoto Institute of Technology,Kyoto University,education,education
2,https://ror.org/00965ax52 -> https://ror.org/02x73b849,https://ror.org/00965ax52,https://ror.org/02x73b849,JP,JP,Kyoto,Tokyo,Kyoto Institute of Technology,University of Electro-Communications,education,education
1,https://ror.org/00965ax52 -> https://ror.org/045ysha14,https://ror.org/00965ax52,https://ror.org/045ysha14,JP,JP,Kyoto,Kashihara-shi,Kyoto Institute of Technology,Nara Medical University,education,education
1,https://ror.org/00965ax52 -> https://ror.org/048rj2z13,https://ror.org/00965ax52,https://ror.org/048rj2z13,JP,JP,Kyoto,Tokyo,Kyoto Institute of Technology,"Ministry of Education, Culture, Sports, Science and Technology",education,government
1,https://ror.org/00965ax52 -> https://ror.org/057zh3y96,https://ror.org/00965ax52,https://ror.org/057zh3y96,JP,JP,Kyoto,Tokyo,Kyoto Institute of Technology,The University of Tokyo,education,education
1,https://ror.org/009x65438 -> https://ror.org/009x65438,https://ror.org/009x65438,https://ror.org/009x65438,JP,JP,Nishinomiya,Nishinomiya,Mukogawa Women's University,Mukogawa Women's University,education,education
1,https://ror.org/00bmxak18 -> https://ror.org/00bmxak18,https://ror.org/00bmxak18,https://ror.org/00bmxak18,JP,JP,Fukuoka,Fukuoka,Fukuoka Institute of Technology,Fukuoka Institute of Technology,education,education
4,https://ror.org/00bx6dj65 -> https://ror.org/00bx6dj65,https://ror.org/00bx6dj65,https://ror.org/00bx6dj65,JP,JP,Tokyo,Tokyo,Hosei University,Hosei University,education,education
1,https://ror.org/00bx6dj65 -> https://ror.org/01nckkm68,https://ror.org/00bx6dj65,https://ror.org/01nckkm68,JP,JP,Tokyo,Tokyo,Hosei University,Sophia University,education,education
1,https://ror.org/00bx6dj65 -> https://ror.org/041bf1s37,https://ror.org/00bx6dj65,https://ror.org/041bf1s37,JP,JP,Tokyo,Yokohama,Hosei University,Kanto Gakuin University,education,education
1,https://ror.org/00bx6dj65 -> https://ror.org/04dt6bw53,https://ror.org/00bx6dj65,https://ror.org/04dt6bw53,JP,JP,Tokyo,Tokyo,Hosei University,Tokyo City University,education,education
2,https://ror.org/00bx6dj65 -> https://ror.org/04f9apy08,https://ror.org/00bx6dj65,https://ror.org/04f9apy08,JP,JP,Tokyo,Tokyo,Hosei University,Advanced Institute of Industrial Technology,education,education
7,https://ror.org/00bx6dj65 -> https://ror.org/05h68bp56,https://ror.org/00bx6dj65,https://ror.org/05h68bp56,JP,JP,Tokyo,Shiraoka,Hosei University,Nippon Institute of Technology,education,education
2,https://ror.org/00d8gp927 -> https://ror.org/00d8gp927,https://ror.org/00d8gp927,https://ror.org/00d8gp927,JP,JP,Ōtsu,Ōtsu,Shiga University of Medical Science,Shiga University of Medical Science,education,education
5,https://ror.org/00f2txz25 -> https://ror.org/00f2txz25,https://ror.org/00f2txz25,https://ror.org/00f2txz25,JP,JP,Tokyo,Tokyo,Kitasato University,Kitasato University,education,education
1,https://ror.org/00f2txz25 -> https://ror.org/01sjwvz98,https://ror.org/00f2txz25,https://ror.org/01sjwvz98,JP,JP,Tokyo,Wako,Kitasato University,RIKEN,education,facility
1,https://ror.org/00f2txz25 -> https://ror.org/02b3e2815,https://ror.org/00f2txz25,https://ror.org/02b3e2815,JP,JP,Tokyo,Sagamihara,Kitasato University,Kitasato University Hospital,education,healthcare
1,https://ror.org/00f2txz25 -> https://ror.org/057zh3y96,https://ror.org/00f2txz25,https://ror.org/057zh3y96,JP,JP,Tokyo,Tokyo,Kitasato University,The University of Tokyo,education,education
1,https://ror.org/00khh5r84 -> https://ror.org/00khh5r84,https://ror.org/00khh5r84,https://ror.org/00khh5r84,JP,JP,Tokyo,Tokyo,Tokyo Gakugei University,Tokyo Gakugei University,education,education
2,https://ror.org/00ktqrd38 -> https://ror.org/00ktqrd38,https://ror.org/00ktqrd38,https://ror.org/00ktqrd38,JP,JP,Kyoto,Kyoto,Kyoto Prefectural University,Kyoto Prefectural University,education,education
1,https://ror.org/00ktqrd38 -> https://ror.org/02cf1je33,https://ror.org/00ktqrd38,https://ror.org/02cf1je33,JP,JP,Kyoto,Sakai,Kyoto Prefectural University,Osaka Prefecture University,education,education
6,https://ror.org/00msqp585 -> https://ror.org/00msqp585,https://ror.org/00msqp585,https://ror.org/00msqp585,JP,JP,Fukui-shi,Fukui-shi,University of Fukui,University of Fukui,education,education
