Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
1,https://ror.org/002rw7y37 -> https://ror.org/002rw7y37,https://ror.org/002rw7y37,https://ror.org/002rw7y37,JP,JP,Tokyo,Tokyo,Aoyama Gakuin University,Aoyama Gakuin University,education,education
1,https://ror.org/002rw7y37 -> https://ror.org/00ntfnx83,https://ror.org/002rw7y37,https://ror.org/00ntfnx83,JP,JP,Tokyo,Tokyo,Aoyama Gakuin University,Waseda University,education,education
1,https://ror.org/003qdfg20 -> https://ror.org/003qdfg20,https://ror.org/003qdfg20,https://ror.org/003qdfg20,JP,JP,Tokyo,Tokyo,Soka University,Soka University,education,education
1,https://ror.org/00bx6dj65 -> https://ror.org/00bx6dj65,https://ror.org/00bx6dj65,https://ror.org/00bx6dj65,JP,JP,Tokyo,Tokyo,Hosei University,Hosei University,education,education
18,https://ror.org/00ntfnx83 -> https://ror.org/00ntfnx83,https://ror.org/00ntfnx83,https://ror.org/00ntfnx83,JP,JP,Tokyo,Tokyo,Waseda University,Waseda University,education,education
1,https://ror.org/00ntfnx83 -> https://ror.org/01p7qe739,https://ror.org/00ntfnx83,https://ror.org/01p7qe739,JP,JP,Tokyo,Tokyo,Waseda University,Tokai University,education,education
2,https://ror.org/00ntfnx83 -> https://ror.org/02j6c0d67,https://ror.org/00ntfnx83,https://ror.org/02j6c0d67,JP,JP,Tokyo,Yokohama,Waseda University,Kanagawa University,education,education
1,https://ror.org/00ntfnx83 -> https://ror.org/02kpeqv85,https://ror.org/00ntfnx83,https://ror.org/02kpeqv85,JP,JP,Tokyo,Kyoto,Waseda University,Kyoto University,education,education
1,https://ror.org/00ntfnx83 -> https://ror.org/04nt8b154,https://ror.org/00ntfnx83,https://ror.org/04nt8b154,JP,JP,Tokyo,Fukuoka,Waseda University,Fukuoka University,education,education
1,https://ror.org/00ntfnx83 -> https://ror.org/05jk51a88,https://ror.org/00ntfnx83,https://ror.org/05jk51a88,JP,JP,Tokyo,Tokyo,Waseda University,Nihon University,education,education
1,https://ror.org/00ntfnx83 -> https://ror.org/05m6adj80,https://ror.org/00ntfnx83,https://ror.org/05m6adj80,JP,JP,Tokyo,Takasaki,Waseda University,Takasaki City University of Economics,education,education
1,https://ror.org/00ntfnx83 -> https://ror.org/05sj3n476,https://ror.org/00ntfnx83,https://ror.org/05sj3n476,JP,JP,Tokyo,Tokyo,Waseda University,Tokyo University of Science,education,education
1,https://ror.org/00p4k0j84 -> https://ror.org/00ntfnx83,https://ror.org/00p4k0j84,https://ror.org/00ntfnx83,JP,JP,Fukuoka,Tokyo,Kyushu University,Waseda University,education,education
4,https://ror.org/00p4k0j84 -> https://ror.org/00p4k0j84,https://ror.org/00p4k0j84,https://ror.org/00p4k0j84,JP,JP,Fukuoka,Fukuoka,Kyushu University,Kyushu University,education,education
1,https://ror.org/00p4k0j84 -> https://ror.org/01jaaym28,https://ror.org/00p4k0j84,https://ror.org/01jaaym28,JP,JP,Fukuoka,Matsue,Kyushu University,Shimane University,education,education
1,https://ror.org/00p4k0j84 -> https://ror.org/04f4wg107,https://ror.org/00p4k0j84,https://ror.org/04f4wg107,JP,JP,Fukuoka,Saga,Kyushu University,Saga University,education,education
4,https://ror.org/00p4k0j84 -> https://ror.org/058h74p94,https://ror.org/00p4k0j84,https://ror.org/058h74p94,JP,JP,Fukuoka,Nagasaki,Kyushu University,Nagasaki University,education,education
4,https://ror.org/00qg0kr10 -> https://ror.org/02956yf07,https://ror.org/00qg0kr10,https://ror.org/02956yf07,JP,JP,Tokyo,Tsukuba,Tokyo University of Agriculture and Technology,University of Tsukuba,education,education
4,https://ror.org/00x194q47 -> https://ror.org/00x194q47,https://ror.org/00x194q47,https://ror.org/00x194q47,JP,JP,Tokyo,Tokyo,Rikkyo University,Rikkyo University,education,education
1,https://ror.org/00x194q47 -> https://ror.org/04jb7yj10,https://ror.org/00x194q47,https://ror.org/04jb7yj10,JP,JP,Tokyo,Matsubara,Rikkyo University,Hannan University,education,education
1,https://ror.org/00ys1hz88 -> https://ror.org/00ys1hz88,https://ror.org/00ys1hz88,https://ror.org/00ys1hz88,JP,JP,Nagaoka,Nagaoka,Nagaoka University of Technology,Nagaoka University of Technology,education,education
1,https://ror.org/0112mx960 -> https://ror.org/0112mx960,https://ror.org/0112mx960,https://ror.org/0112mx960,JP,JP,Tokyo,Tokyo,Tokyo Institute of Technology,Tokyo Institute of Technology,education,education
1,https://ror.org/0112mx960 -> https://ror.org/01v1m2411,https://ror.org/0112mx960,https://ror.org/01v1m2411,JP,JP,Tokyo,Kyoto,Tokyo Institute of Technology,The Ritsumeikan Trust,education,education
1,https://ror.org/0112mx960 -> https://ror.org/02956yf07,https://ror.org/0112mx960,https://ror.org/02956yf07,JP,JP,Tokyo,Tsukuba,Tokyo Institute of Technology,University of Tsukuba,education,education
2,https://ror.org/0112mx960 -> https://ror.org/048rj2z13,https://ror.org/0112mx960,https://ror.org/048rj2z13,JP,JP,Tokyo,Tokyo,Tokyo Institute of Technology,"Ministry of Education, Culture, Sports, Science and Technology",education,government
2,https://ror.org/0112mx960 -> https://ror.org/05sj3n476,https://ror.org/0112mx960,https://ror.org/05sj3n476,JP,JP,Tokyo,Tokyo,Tokyo Institute of Technology,Tokyo University of Science,education,education
2,https://ror.org/0151bmh98 -> https://ror.org/03ppx1p25,https://ror.org/0151bmh98,https://ror.org/03ppx1p25,JP,JP,Kobe,Sasebo,University of Hyogo,University of Nagasaki,education,education
1,https://ror.org/01cdrde68 -> https://ror.org/01cdrde68,https://ror.org/01cdrde68,https://ror.org/01cdrde68,JP,JP,Tokyo,Tokyo,United Nations University,United Nations University,facility,facility
1,https://ror.org/01cg0k189 -> https://ror.org/01p7qe739,https://ror.org/01cg0k189,https://ror.org/01p7qe739,JP,JP,Tokyo,Tokyo,International Christian University,Tokai University,education,education
1,https://ror.org/01cg0k189 -> https://ror.org/048c1xv24,https://ror.org/01cg0k189,https://ror.org/048c1xv24,JP,JP,Tokyo,Nagareyama,International Christian University,Toyo Gakuen University,education,education
1,https://ror.org/01dq60k83 -> https://ror.org/00sjd5653,https://ror.org/01dq60k83,https://ror.org/00sjd5653,JP,JP,Sendai,Ibaraki,Tohoku University,Ibaraki University,education,education
2,https://ror.org/01dq60k83 -> https://ror.org/00thekh91,https://ror.org/01dq60k83,https://ror.org/00thekh91,JP,JP,Sendai,Nisshin,Tohoku University,Nagoya University of Commerce and Business,education,education
1,https://ror.org/01dq60k83 -> https://ror.org/0151bmh98,https://ror.org/01dq60k83,https://ror.org/0151bmh98,JP,JP,Sendai,Kobe,Tohoku University,University of Hyogo,education,education
3,https://ror.org/01dq60k83 -> https://ror.org/01dq60k83,https://ror.org/01dq60k83,https://ror.org/01dq60k83,JP,JP,Sendai,Sendai,Tohoku University,Tohoku University,education,education
1,https://ror.org/01dq60k83 -> https://ror.org/0210pwe06,https://ror.org/01dq60k83,https://ror.org/0210pwe06,JP,JP,Sendai,Nara-shi,Tohoku University,Tezukayama University,education,education
1,https://ror.org/01dq60k83 -> https://ror.org/048rj2z13,https://ror.org/01dq60k83,https://ror.org/048rj2z13,JP,JP,Sendai,Tokyo,Tohoku University,"Ministry of Education, Culture, Sports, Science and Technology",education,government
1,https://ror.org/01dq60k83 -> https://ror.org/05kt9ap64,https://ror.org/01dq60k83,https://ror.org/05kt9ap64,JP,JP,Sendai,Osaka,Tohoku University,Kindai University,education,education
1,https://ror.org/01dq60k83 -> https://ror.org/05sj3n476,https://ror.org/01dq60k83,https://ror.org/05sj3n476,JP,JP,Sendai,Tokyo,Tohoku University,Tokyo University of Science,education,education
1,https://ror.org/01fxdkm29 -> https://ror.org/03ppx1p25,https://ror.org/01fxdkm29,https://ror.org/03ppx1p25,JP,JP,Kyoto,Sasebo,Doshisha University,University of Nagasaki,education,education
1,https://ror.org/01g9ekh39 -> https://ror.org/01g9ekh39,https://ror.org/01g9ekh39,https://ror.org/01g9ekh39,JP,JP,Kawagoe,Kawagoe,Tokyo International University,Tokyo International University,education,education
1,https://ror.org/01g9ekh39 -> https://ror.org/05cw8ax51,https://ror.org/01g9ekh39,https://ror.org/05cw8ax51,JP,JP,Kawagoe,Tokyo,Tokyo International University,Daito Bunka University,education,education
1,https://ror.org/01gaw2478 -> https://ror.org/02j6c0d67,https://ror.org/01gaw2478,https://ror.org/02j6c0d67,JP,JP,Tokyo,Yokohama,Teikyo University,Kanagawa University,education,education
2,https://ror.org/01hjzeq58 -> https://ror.org/01hjzeq58,https://ror.org/01hjzeq58,https://ror.org/01hjzeq58,JP,JP,Chiba,Chiba,Chiba University,Chiba University,education,education
1,https://ror.org/01hjzeq58 -> https://ror.org/057zh3y96,https://ror.org/01hjzeq58,https://ror.org/057zh3y96,JP,JP,Chiba,Tokyo,Chiba University,The University of Tokyo,education,education
2,https://ror.org/01v1m2411 -> https://ror.org/01v1m2411,https://ror.org/01v1m2411,https://ror.org/01v1m2411,JP,JP,Kyoto,Kyoto,The Ritsumeikan Trust,The Ritsumeikan Trust,education,education
