Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
1,https://ror.org/001xjdh50 -> https://ror.org/001xjdh50,https://ror.org/001xjdh50,https://ror.org/001xjdh50,JP,JP,Osaka,Osaka,Kansai Medical University,Kansai Medical University,education,education
1,https://ror.org/001xjdh50 -> https://ror.org/04j7mzp05,https://ror.org/001xjdh50,https://ror.org/04j7mzp05,JP,JP,Osaka,Takamatsu,Kansai Medical University,Kagawa University,education,education
1,https://ror.org/002rw7y37 -> https://ror.org/002rw7y37,https://ror.org/002rw7y37,https://ror.org/002rw7y37,JP,JP,Tokyo,Tokyo,Aoyama Gakuin University,Aoyama Gakuin University,education,education
1,https://ror.org/002rw7y37 -> https://ror.org/00ntfnx83,https://ror.org/002rw7y37,https://ror.org/00ntfnx83,JP,JP,Tokyo,Tokyo,Aoyama Gakuin University,Waseda University,education,education
1,https://ror.org/002rw7y37 -> https://ror.org/01v1m2411,https://ror.org/002rw7y37,https://ror.org/01v1m2411,JP,JP,Tokyo,Kyoto,Aoyama Gakuin University,The Ritsumeikan Trust,education,education
1,https://ror.org/002rw7y37 -> https://ror.org/03thzz813,https://ror.org/002rw7y37,https://ror.org/03thzz813,JP,JP,Tokyo,Saitama,Aoyama Gakuin University,Meikai University,education,education
1,https://ror.org/002rw7y37 -> https://ror.org/04j8wth34,https://ror.org/002rw7y37,https://ror.org/04j8wth34,JP,JP,Tokyo,Yokohama,Aoyama Gakuin University,Tsurumi University,education,education
2,https://ror.org/002rw7y37 -> https://ror.org/05n7t1e46,https://ror.org/002rw7y37,https://ror.org/05n7t1e46,JP,JP,Tokyo,Machida,Aoyama Gakuin University,Wako University,education,education
1,https://ror.org/00bx6dj65 -> https://ror.org/001et4e78,https://ror.org/00bx6dj65,https://ror.org/001et4e78,JP,JP,Tokyo,Hiroshima,Hosei University,Hiroshima City University,education,education
5,https://ror.org/00bx6dj65 -> https://ror.org/00bx6dj65,https://ror.org/00bx6dj65,https://ror.org/00bx6dj65,JP,JP,Tokyo,Tokyo,Hosei University,Hosei University,education,education
1,https://ror.org/00bx6dj65 -> https://ror.org/00p4k0j84,https://ror.org/00bx6dj65,https://ror.org/00p4k0j84,JP,JP,Tokyo,Fukuoka,Hosei University,Kyushu University,education,education
1,https://ror.org/00bx6dj65 -> https://ror.org/0136tgd19,https://ror.org/00bx6dj65,https://ror.org/0136tgd19,JP,JP,Tokyo,Tokyo,Hosei University,Tokyo College of Welfare,education,education
1,https://ror.org/00d8gp927 -> https://ror.org/00d8gp927,https://ror.org/00d8gp927,https://ror.org/00d8gp927,JP,JP,Ōtsu,Ōtsu,Shiga University of Medical Science,Shiga University of Medical Science,education,education
1,https://ror.org/00khh5r84 -> https://ror.org/03qvqb743,https://ror.org/00khh5r84,https://ror.org/03qvqb743,JP,JP,Tokyo,Hachiōji,Tokyo Gakugei University,Chuo University,education,education
2,https://ror.org/00ktqrd38 -> https://ror.org/00ktqrd38,https://ror.org/00ktqrd38,https://ror.org/00ktqrd38,JP,JP,Kyoto,Kyoto,Kyoto Prefectural University,Kyoto Prefectural University,education,education
2,https://ror.org/00ktqrd38 -> https://ror.org/024yc3q36,https://ror.org/00ktqrd38,https://ror.org/024yc3q36,JP,JP,Kyoto,Tottori,Kyoto Prefectural University,Tottori University,education,education
1,https://ror.org/00ntfnx83 -> https://ror.org/009mysd22,https://ror.org/00ntfnx83,https://ror.org/009mysd22,JP,JP,Tokyo,Ibaraki,Waseda University,Otemon Gakuin University,education,education
1,https://ror.org/00ntfnx83 -> https://ror.org/00nqcp204,https://ror.org/00ntfnx83,https://ror.org/00nqcp204,JP,JP,Tokyo,Niigata,Waseda University,Niigata Seiryo University,education,education
35,https://ror.org/00ntfnx83 -> https://ror.org/00ntfnx83,https://ror.org/00ntfnx83,https://ror.org/00ntfnx83,JP,JP,Tokyo,Tokyo,Waseda University,Waseda University,education,education
