Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
1,https://ror.org/003qdfg20 -> https://ror.org/003qdfg20,https://ror.org/003qdfg20,https://ror.org/003qdfg20,JP,JP,Tokyo,Tokyo,Soka University,Soka University,education,education
1,https://ror.org/00bmxak18 -> https://ror.org/00bmxak18,https://ror.org/00bmxak18,https://ror.org/00bmxak18,JP,JP,Fukuoka,Fukuoka,Fukuoka Institute of Technology,Fukuoka Institute of Technology,education,education
16,https://ror.org/00ntfnx83 -> https://ror.org/00ntfnx83,https://ror.org/00ntfnx83,https://ror.org/00ntfnx83,JP,JP,Tokyo,Tokyo,Waseda University,Waseda University,education,education
2,https://ror.org/00ntfnx83 -> https://ror.org/020wjcq07,https://ror.org/00ntfnx83,https://ror.org/020wjcq07,JP,JP,Tokyo,Tokyo,Waseda University,Shibaura Institute of Technology,education,education
1,https://ror.org/00ntfnx83 -> https://ror.org/021a26605,https://ror.org/00ntfnx83,https://ror.org/021a26605,JP,JP,Tokyo,Tokyo,Waseda University,Tokyo University of Technology,education,education
2,https://ror.org/00ntfnx83 -> https://ror.org/022yhjq53,https://ror.org/00ntfnx83,https://ror.org/022yhjq53,JP,JP,Tokyo,Tokyo,Waseda University,Meisei University,education,education
1,https://ror.org/00ntfnx83 -> https://ror.org/02x73b849,https://ror.org/00ntfnx83,https://ror.org/02x73b849,JP,JP,Tokyo,Tokyo,Waseda University,University of Electro-Communications,education,education
1,https://ror.org/00p4k0j84 -> https://ror.org/001et4e78,https://ror.org/00p4k0j84,https://ror.org/001et4e78,JP,JP,Fukuoka,Hiroshima,Kyushu University,Hiroshima City University,education,education
14,https://ror.org/00p4k0j84 -> https://ror.org/00p4k0j84,https://ror.org/00p4k0j84,https://ror.org/00p4k0j84,JP,JP,Fukuoka,Fukuoka,Kyushu University,Kyushu University,education,education
1,https://ror.org/00p4k0j84 -> https://ror.org/01wqrpc44,https://ror.org/00p4k0j84,https://ror.org/01wqrpc44,JP,JP,Fukuoka,Fukuoka,Kyushu University,Kyushu Sangyo University,education,education
2,https://ror.org/00p4k0j84 -> https://ror.org/024yc3q36,https://ror.org/00p4k0j84,https://ror.org/024yc3q36,JP,JP,Fukuoka,Tottori,Kyushu University,Tottori University,education,education
1,https://ror.org/00p4k0j84 -> https://ror.org/02j6c0d67,https://ror.org/00p4k0j84,https://ror.org/02j6c0d67,JP,JP,Fukuoka,Yokohama,Kyushu University,Kanagawa University,education,education
1,https://ror.org/00p4k0j84 -> https://ror.org/03ppx1p25,https://ror.org/00p4k0j84,https://ror.org/03ppx1p25,JP,JP,Fukuoka,Sasebo,Kyushu University,University of Nagasaki,education,education
1,https://ror.org/00qg0kr10 -> https://ror.org/00bx6dj65,https://ror.org/00qg0kr10,https://ror.org/00bx6dj65,JP,JP,Tokyo,Tokyo,Tokyo University of Agriculture and Technology,Hosei University,education,education
3,https://ror.org/00qg0kr10 -> https://ror.org/00qg0kr10,https://ror.org/00qg0kr10,https://ror.org/00qg0kr10,JP,JP,Tokyo,Tokyo,Tokyo University of Agriculture and Technology,Tokyo University of Agriculture and Technology,education,education
1,https://ror.org/00qg0kr10 -> https://ror.org/01sjwvz98,https://ror.org/00qg0kr10,https://ror.org/01sjwvz98,JP,JP,Tokyo,Wako,Tokyo University of Agriculture and Technology,RIKEN,education,facility
1,https://ror.org/00qg0kr10 -> https://ror.org/02kpeqv85,https://ror.org/00qg0kr10,https://ror.org/02kpeqv85,JP,JP,Tokyo,Kyoto,Tokyo University of Agriculture and Technology,Kyoto University,education,education
1,https://ror.org/00qg0kr10 -> https://ror.org/04ezg6d83,https://ror.org/00qg0kr10,https://ror.org/04ezg6d83,JP,JP,Tokyo,Toyohashi,Tokyo University of Agriculture and Technology,Toyohashi University of Technology,education,education
1,https://ror.org/00qwnam72 -> https://ror.org/00qwnam72,https://ror.org/00qwnam72,https://ror.org/00qwnam72,JP,JP,Narashino,Narashino,Chiba Institute of Technology,Chiba Institute of Technology,education,education
2,https://ror.org/00rghrr56 -> https://ror.org/00rghrr56,https://ror.org/00rghrr56,https://ror.org/00rghrr56,JP,JP,Kochi,Kochi,Kochi University of Technology,Kochi University of Technology,education,education
2,https://ror.org/00xy44n04 -> https://ror.org/00xy44n04,https://ror.org/00xy44n04,https://ror.org/00xy44n04,JP,JP,Yamagata,Yamagata,Yamagata University,Yamagata University,education,education
4,https://ror.org/00ys1hz88 -> https://ror.org/00ys1hz88,https://ror.org/00ys1hz88,https://ror.org/00ys1hz88,JP,JP,Nagaoka,Nagaoka,Nagaoka University of Technology,Nagaoka University of Technology,education,education
1,https://ror.org/0112mx960 -> https://ror.org/002rw7y37,https://ror.org/0112mx960,https://ror.org/002rw7y37,JP,JP,Tokyo,Tokyo,Tokyo Institute of Technology,Aoyama Gakuin University,education,education
1,https://ror.org/0112mx960 -> https://ror.org/00qg0kr10,https://ror.org/0112mx960,https://ror.org/00qg0kr10,JP,JP,Tokyo,Tokyo,Tokyo Institute of Technology,Tokyo University of Agriculture and Technology,education,education
1,https://ror.org/0112mx960 -> https://ror.org/00rghrr56,https://ror.org/0112mx960,https://ror.org/00rghrr56,JP,JP,Tokyo,Kochi,Tokyo Institute of Technology,Kochi University of Technology,education,education
32,https://ror.org/0112mx960 -> https://ror.org/0112mx960,https://ror.org/0112mx960,https://ror.org/0112mx960,JP,JP,Tokyo,Tokyo,Tokyo Institute of Technology,Tokyo Institute of Technology,education,education
2,https://ror.org/0112mx960 -> https://ror.org/016bgq349,https://ror.org/0112mx960,https://ror.org/016bgq349,JP,JP,Tokyo,Tokyo,Tokyo Institute of Technology,National Institute of Information and Communications Technology,education,facility
1,https://ror.org/0112mx960 -> https://ror.org/01703db54,https://ror.org/0112mx960,https://ror.org/01703db54,JP,JP,Tokyo,Tsukuba,Tokyo Institute of Technology,National Institute of Advanced Industrial Science and Technology,education,government
1,https://ror.org/0112mx960 -> https://ror.org/01dq60k83,https://ror.org/0112mx960,https://ror.org/01dq60k83,JP,JP,Tokyo,Sendai,Tokyo Institute of Technology,Tohoku University,education,education
1,https://ror.org/0112mx960 -> https://ror.org/01w6wtk13,https://ror.org/0112mx960,https://ror.org/01w6wtk13,JP,JP,Tokyo,Shizuoka,Tokyo Institute of Technology,Shizuoka University,education,education
2,https://ror.org/0112mx960 -> https://ror.org/02956yf07,https://ror.org/0112mx960,https://ror.org/02956yf07,JP,JP,Tokyo,Tsukuba,Tokyo Institute of Technology,University of Tsukuba,education,education
2,https://ror.org/0112mx960 -> https://ror.org/02j6c0d67,https://ror.org/0112mx960,https://ror.org/02j6c0d67,JP,JP,Tokyo,Yokohama,Tokyo Institute of Technology,Kanagawa University,education,education
1,https://ror.org/0112mx960 -> https://ror.org/02kn6nx58,https://ror.org/0112mx960,https://ror.org/02kn6nx58,JP,JP,Tokyo,Tokyo,Tokyo Institute of Technology,Keio University,education,education
1,https://ror.org/0112mx960 -> https://ror.org/02kpeqv85,https://ror.org/0112mx960,https://ror.org/02kpeqv85,JP,JP,Tokyo,Kyoto,Tokyo Institute of Technology,Kyoto University,education,education
1,https://ror.org/0112mx960 -> https://ror.org/02ws33e43,https://ror.org/0112mx960,https://ror.org/02ws33e43,JP,JP,Tokyo,Nonoichi,Tokyo Institute of Technology,Kanazawa Institute of Technology,education,education
1,https://ror.org/0112mx960 -> https://ror.org/02x73b849,https://ror.org/0112mx960,https://ror.org/02x73b849,JP,JP,Tokyo,Tokyo,Tokyo Institute of Technology,University of Electro-Communications,education,education
5,https://ror.org/0112mx960 -> https://ror.org/03frj4r98,https://ror.org/0112mx960,https://ror.org/03frj4r98,JP,JP,Tokyo,Nomi Shi,Tokyo Institute of Technology,Japan Advanced Institute of Science and Technology,education,education
1,https://ror.org/0112mx960 -> https://ror.org/03jzxkg37,https://ror.org/0112mx960,https://ror.org/03jzxkg37,JP,JP,Tokyo,Tokyo,Tokyo Institute of Technology,Senshu University,education,education
1,https://ror.org/0112mx960 -> https://ror.org/03zyp6p76,https://ror.org/0112mx960,https://ror.org/03zyp6p76,JP,JP,Tokyo,Yokohama,Tokyo Institute of Technology,Yokohama National University,education,education
2,https://ror.org/0112mx960 -> https://ror.org/04d139241,https://ror.org/0112mx960,https://ror.org/04d139241,JP,JP,Tokyo,Nagoya,Tokyo Institute of Technology,Tokai National Higher Education and Research System,education,education
1,https://ror.org/0112mx960 -> https://ror.org/055yf1005,https://ror.org/0112mx960,https://ror.org/055yf1005,JP,JP,Tokyo,Nagoya,Tokyo Institute of Technology,Nagoya Institute of Technology,education,education
2,https://ror.org/0112mx960 -> https://ror.org/057zh3y96,https://ror.org/0112mx960,https://ror.org/057zh3y96,JP,JP,Tokyo,Tokyo,Tokyo Institute of Technology,The University of Tokyo,education,education
3,https://ror.org/0112mx960 -> https://ror.org/05qh38f12,https://ror.org/0112mx960,https://ror.org/05qh38f12,JP,JP,Tokyo,Tokyo,Tokyo Institute of Technology,Takushoku University,education,education
1,https://ror.org/01dq60k83 -> https://ror.org/0112mx960,https://ror.org/01dq60k83,https://ror.org/0112mx960,JP,JP,Sendai,Tokyo,Tohoku University,Tokyo Institute of Technology,education,education
5,https://ror.org/01dq60k83 -> https://ror.org/01dq60k83,https://ror.org/01dq60k83,https://ror.org/01dq60k83,JP,JP,Sendai,Sendai,Tohoku University,Tohoku University,education,education
1,https://ror.org/01dq60k83 -> https://ror.org/01sjwvz98,https://ror.org/01dq60k83,https://ror.org/01sjwvz98,JP,JP,Sendai,Wako,Tohoku University,RIKEN,education,facility
1,https://ror.org/01dq60k83 -> https://ror.org/02956yf07,https://ror.org/01dq60k83,https://ror.org/02956yf07,JP,JP,Sendai,Tsukuba,Tohoku University,University of Tsukuba,education,education
1,https://ror.org/01dq60k83 -> https://ror.org/03frj4r98,https://ror.org/01dq60k83,https://ror.org/03frj4r98,JP,JP,Sendai,Nomi Shi,Tohoku University,Japan Advanced Institute of Science and Technology,education,education
1,https://ror.org/01dq60k83 -> https://ror.org/03ppx1p25,https://ror.org/01dq60k83,https://ror.org/03ppx1p25,JP,JP,Sendai,Sasebo,Tohoku University,University of Nagasaki,education,education
1,https://ror.org/01dq60k83 -> https://ror.org/04ezg6d83,https://ror.org/01dq60k83,https://ror.org/04ezg6d83,JP,JP,Sendai,Toyohashi,Tohoku University,Toyohashi University of Technology,education,education
1,https://ror.org/01dq60k83 -> https://ror.org/05wj18248,https://ror.org/01dq60k83,https://ror.org/05wj18248,JP,JP,Sendai,Hachinohe,Tohoku University,Hachinohe Institute of Technology,education,education
1,https://ror.org/01fxdkm29 -> https://ror.org/01fxdkm29,https://ror.org/01fxdkm29,https://ror.org/01fxdkm29,JP,JP,Kyoto,Kyoto,Doshisha University,Doshisha University,education,education
1,https://ror.org/01pa62v70 -> https://ror.org/01pa62v70,https://ror.org/01pa62v70,https://ror.org/01pa62v70,JP,JP,Tokyo,Tokyo,Tokyo Denki University,Tokyo Denki University,education,education
8,https://ror.org/01v1m2411 -> https://ror.org/01v1m2411,https://ror.org/01v1m2411,https://ror.org/01v1m2411,JP,JP,Kyoto,Kyoto,The Ritsumeikan Trust,The Ritsumeikan Trust,education,education
2,https://ror.org/01w6wtk13 -> https://ror.org/01w6wtk13,https://ror.org/01w6wtk13,https://ror.org/01w6wtk13,JP,JP,Shizuoka,Shizuoka,Shizuoka University,Shizuoka University,education,education
1,https://ror.org/01w6wtk13 -> https://ror.org/04ezg6d83,https://ror.org/01w6wtk13,https://ror.org/04ezg6d83,JP,JP,Shizuoka,Toyohashi,Shizuoka University,Toyohashi University of Technology,education,education
1,https://ror.org/01wqrpc44 -> https://ror.org/00p4k0j84,https://ror.org/01wqrpc44,https://ror.org/00p4k0j84,JP,JP,Fukuoka,Fukuoka,Kyushu Sangyo University,Kyushu University,education,education
1,https://ror.org/01wqrpc44 -> https://ror.org/01dq60k83,https://ror.org/01wqrpc44,https://ror.org/01dq60k83,JP,JP,Fukuoka,Sendai,Kyushu Sangyo University,Tohoku University,education,education
1,https://ror.org/01wqrpc44 -> https://ror.org/01wqrpc44,https://ror.org/01wqrpc44,https://ror.org/01wqrpc44,JP,JP,Fukuoka,Fukuoka,Kyushu Sangyo University,Kyushu Sangyo University,education,education
1,https://ror.org/02278tr80 -> https://ror.org/001et4e78,https://ror.org/02278tr80,https://ror.org/001et4e78,JP,JP,Kitakyushu,Hiroshima,Kyushu Institute of Technology,Hiroshima City University,education,education
1,https://ror.org/02278tr80 -> https://ror.org/017hkng22,https://ror.org/02278tr80,https://ror.org/017hkng22,JP,JP,Kitakyushu,Matsuyama,Kyushu Institute of Technology,Ehime University,education,education
